"","50","49","48","47","46","45","44","43","42","41","40","39","38","37","36","35","34","33","32","31","30","29","28","27","26","25","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2"
"H1_Exp1.012","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-22","mc8-23","mc7-23","mc6-19","mc5-9","mc4-55","mc3-61","mc2-25"
"H1_Exp1.014","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-9","mc21-9","mc20-8","mc19-8","mc18-8","mc17-8","mc16-7","mc15-6","mc14-4","mc13-2","mc12-2","mc11-21","mc10-21","mc9-19","mc8-19","mc7-17","mc6-10","mc5-40","mc4-39","mc3-30","mc2-41"
"H1_Exp1.015","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-22","mc8-23","mc7-23","mc6-19","mc5-9","mc4-21","mc3-68","mc2-55"
"H1_Exp1.016","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-9","mc21-9","mc20-8","mc19-8","mc18-8","mc17-8","mc16-7","mc15-6","mc14-4","mc13-2","mc12-2","mc11-17","mc10-17","mc9-15","mc8-13","mc7-7","mc6-21","mc5-12","mc4-31","mc3-13","mc2-9"
"H1_Exp1.017","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-5","mc21-5","mc20-4","mc19-4","mc18-4","mc17-3","mc16-2","mc15-1","mc14-17","mc13-17","mc12-17","mc11-16","mc10-16","mc9-14","mc8-12","mc7-6","mc6-34","mc5-30","mc4-23","mc3-40","mc2-11"
"H1_Exp1.018","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-21","mc8-22","mc7-20","mc6-14","mc5-2","mc4-36","mc3-23","mc2-26"
"H1_Exp1.019","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-5","mc21-5","mc20-4","mc19-4","mc18-4","mc17-3","mc16-2","mc15-1","mc14-11","mc13-10","mc12-9","mc11-6","mc10-6","mc9-3","mc8-11","mc7-5","mc6-20","mc5-11","mc4-48","mc3-48","mc2-3"
"H1_Exp1.020","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-22","mc8-23","mc7-23","mc6-19","mc5-9","mc4-21","mc3-68","mc2-55"
"H1_Exp1.021","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-5","mc21-5","mc20-4","mc19-4","mc18-4","mc17-3","mc16-2","mc15-1","mc14-11","mc13-10","mc12-9","mc11-6","mc10-6","mc9-3","mc8-11","mc7-5","mc6-20","mc5-11","mc4-38","mc3-29","mc2-85"
"H1_Exp1.022","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-5","mc21-5","mc20-4","mc19-4","mc18-4","mc17-3","mc16-2","mc15-1","mc14-11","mc13-10","mc12-9","mc11-6","mc10-6","mc9-3","mc8-11","mc7-5","mc6-20","mc5-11","mc4-48","mc3-48","mc2-3"
"H1_Exp1.023","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-11","mc15-10","mc14-8","mc13-6","mc12-5","mc11-2","mc10-2","mc9-22","mc8-23","mc7-23","mc6-19","mc5-9","mc4-55","mc3-61","mc2-25"
"H1_Exp1.024","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-3","mc20-2","mc19-2","mc18-2","mc17-1","mc16-13","mc15-12","mc14-10","mc13-9","mc12-8","mc11-5","mc10-5","mc9-2","mc8-8","mc7-2","mc6-32","mc5-27","mc4-18","mc3-17","mc2-66"
"H1_Exp1.025","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-9","mc21-9","mc20-8","mc19-8","mc18-8","mc17-8","mc16-7","mc15-6","mc14-4","mc13-2","mc12-2","mc11-17","mc10-17","mc9-15","mc8-13","mc7-7","mc6-36","mc5-35","mc4-29","mc3-9","mc2-32"
"H1_Exp1.026","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-2","mc24-1","mc23-1","mc22-9","mc21-9","mc20-8","mc19-8","mc18-8","mc17-8","mc16-7","mc15-6","mc14-4","mc13-2","mc12-19","mc11-20","mc10-20","mc9-18","mc8-16","mc7-10","mc6-3","mc5-39","mc4-34","mc3-20","mc2-65"
"H1_Exp1.027","mc50-7","mc49-7","mc48-7","mc47-7","mc46-8","mc45-8","mc44-8","mc43-8","mc42-8","mc41-8","mc40-8","mc39-8","mc38-8","mc37-8","mc36-7","mc35-7","mc34-7","mc33-6","mc32-6","mc31-6","mc30-6","mc29-6","mc28-6","mc27-5","mc26-5","mc25-5","mc24-4","mc23-4","mc22-3","mc21-2","mc20-1","mc19-1","mc18-1","mc17-5","mc16-4","mc15-3","mc14-1","mc13-18","mc12-18","mc11-18","mc10-18","mc9-16","mc8-14","mc7-8","mc6-1","mc5-19","mc4-2","mc3-75","mc2-86"
"H1_Exp1.029","mc50-6","mc49-6","mc48-6","mc47-6","mc46-6","mc45-6","mc44-6","mc43-6","mc42-6","mc41-6","mc40-6","mc39-6","mc38-6","mc37-6","mc36-5","mc35-5","mc34-5","mc33-4","mc32-4","mc31-4","mc30-4","mc29-4","mc28-4","mc27-3","mc26-3","mc25-3","mc24-2","mc23-2","mc22-1","mc21-11","mc20-10","mc19-10","mc18-10","mc17-10","mc16-9","mc15-8","mc14-6","mc13-4","mc12-3","mc11-19","mc10-19","mc9-17","mc8-15","mc7-9","mc6-2","mc5-8","mc4-12","mc3-47","mc2-2"
"H1_Exp1.030","mc50-5","mc49-5","mc48-5","mc47-5","mc46-5","mc45-5","mc44-5","mc43-5","mc42-5","mc41-5","mc40-5","mc39-5","mc38-5","mc37-5","mc36-4","mc35-4","mc34-4","mc33-3","mc32-3","mc31-3","mc30-2","mc29-2","mc28-2","mc27-1","mc26-1","mc25-11","mc24-11","mc23-11","mc22-12","mc21-13","mc20-13","mc19-13","mc18-13","mc17-13","mc16-14","mc15-13","mc14-12","mc13-11","mc12-10","mc11-7","mc10-7","mc9-4","mc8-17","mc7-11","mc6-4","mc5-16","mc4-22","mc3-35","mc2-28"
