"","58","50","44","39","35","27","32","25","23","20","21","15","13","11","9","6","4"
"H1_Exp2.145","mc58-6","mc50-2","mc44-4","mc39-9","mc35-3","mc27-8","mc32-7","mc25-9","mc23-3","mc20-10","mc21-12","mc15-15","mc13-2",NA,NA,NA,NA
"H1_Exp2.146","mc58-6","mc50-1","mc44-1","mc39-6","mc35-1","mc27-12","mc32-7","mc25-13","mc23-1","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp2.147","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-12","mc15-17","mc13-2","mc11-2",NA,NA,NA
"H1_Exp2.148","mc58-5","mc50-2","mc44-3","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-6","mc9-3","mc6-5","mc4-4"
"H1_Exp2.149","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-8","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp2.150","mc58-6","mc50-1","mc44-1","mc39-8","mc35-1","mc27-12","mc32-8","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp2.151","mc58-6","mc50-2","mc44-4","mc39-9","mc35-3","mc27-8","mc32-7","mc25-9","mc23-3","mc20-10",NA,NA,NA,NA,NA,NA,NA
"H1_Exp2.152","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3","mc6-5","mc4-4"
"H1_Exp2.153","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-3","mc20-9","mc21-8",NA,NA,NA,NA,NA,NA
"H1_Exp2.154","mc58-5","mc50-2","mc44-3","mc39-8","mc35-3","mc27-13","mc32-8","mc25-10","mc23-5","mc20-9","mc21-12","mc15-15","mc13-4",NA,NA,NA,NA
"H1_Exp3.217","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-13","mc23-7",NA,NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.218","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-14","mc23-1","mc20-14","mc21-13","mc15-16","mc13-6","mc11-4","mc9-3",NA,NA
"H1_Exp3.219","mc58-5","mc50-3","mc44-4","mc39-9","mc35-3","mc27-13","mc32-6","mc25-8","mc23-2","mc20-11","mc21-13","mc15-21","mc13-5",NA,NA,NA,NA
"H1_Exp3.220","mc58-6","mc50-1","mc44-1","mc39-5","mc35-5","mc27-7","mc32-7","mc25-13","mc23-1","mc20-12",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.221","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-8","mc25-13","mc23-7","mc20-13","mc21-12",NA,NA,NA,NA,NA,NA
"H1_Exp3.222","mc58-5","mc50-3","mc44-4","mc39-9","mc35-3","mc27-8","mc32-7","mc25-13","mc23-7","mc20-13","mc21-12","mc15-15",NA,NA,NA,NA,NA
"H1_Exp3.223","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-11","mc32-10","mc25-11","mc23-6","mc20-14","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-1","mc4-3"
"H1_Exp3.224","mc58-5","mc50-2","mc44-4","mc39-9","mc35-1","mc27-12","mc32-8","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.225","mc58-5","mc50-2","mc44-2","mc39-8","mc35-2","mc27-11","mc32-11","mc25-12","mc23-1","mc20-12","mc21-9","mc15-15","mc13-3",NA,NA,NA,NA
"H1_Exp3.226","mc58-5","mc50-3","mc44-4","mc39-7","mc35-3","mc27-13","mc32-8","mc25-9","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.227","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-10","mc23-5","mc20-17","mc21-11","mc15-12","mc13-1",NA,NA,NA,NA
"H1_Exp3.228","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-11","mc32-11","mc25-12","mc23-6","mc20-15","mc21-9","mc15-14","mc13-3","mc11-5","mc9-4",NA,NA
"H1_Exp3.229","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-14","mc23-1","mc20-11","mc21-13","mc15-16","mc13-5","mc11-7",NA,NA,NA
"H1_Exp3.230","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-14","mc23-1","mc20-14","mc21-13","mc15-16","mc13-6",NA,NA,NA,NA
"H1_Exp3.231","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-8","mc32-7","mc25-9","mc23-2","mc20-10","mc21-13","mc15-15","mc13-6",NA,NA,NA,NA
"H1_Exp3.232","mc58-5","mc50-2","mc44-3","mc39-8","mc35-2","mc27-11","mc32-9","mc25-10","mc23-5","mc20-11","mc21-10","mc15-21","mc13-2",NA,NA,NA,NA
"H1_Exp3.233","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-12","mc15-15",NA,NA,NA,NA,NA
"H1_Exp3.234","mc58-5","mc50-2","mc44-2","mc39-9","mc35-2","mc27-11","mc32-11","mc25-8","mc23-6","mc20-14","mc21-12","mc15-17","mc13-2",NA,NA,NA,NA
"H1_Exp3.235","mc58-5","mc50-3","mc44-4","mc39-7","mc35-3","mc27-13","mc32-6","mc25-8","mc23-6","mc20-10",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.236","mc58-5","mc50-3","mc44-4","mc39-7","mc35-3","mc27-13","mc32-6","mc25-8","mc23-6","mc20-10","mc21-13","mc15-15","mc13-4","mc11-3","mc9-3","mc6-5",NA
"H1_Exp3.237","mc58-5","mc50-3","mc44-1","mc39-5","mc35-5","mc27-7","mc32-6","mc25-14","mc23-1","mc20-14",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.238","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-14","mc23-1","mc20-14",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.239","mc58-5","mc50-2","mc44-2","mc39-7","mc35-2","mc27-11","mc32-11","mc25-12","mc23-6","mc20-15","mc21-9","mc15-14","mc13-2","mc11-3","mc9-3","mc6-1",NA
"H1_Exp3.240","mc58-5","mc50-2","mc44-3","mc39-8","mc35-2","mc27-11","mc32-11","mc25-12","mc23-1","mc20-14","mc21-13","mc15-16","mc13-2","mc11-4",NA,NA,NA
"H1_Exp3.241","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-11","mc32-11","mc25-12","mc23-6","mc20-15","mc21-9","mc15-15","mc13-3","mc11-5","mc9-5","mc6-5",NA
"H1_Exp3.242","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-14","mc23-4","mc20-14","mc21-12","mc15-11","mc13-3","mc11-7",NA,NA,NA
"H1_Exp3.243","mc58-5","mc50-3","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.244","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-8","mc32-7","mc25-9","mc23-2","mc20-11","mc21-12","mc15-15",NA,NA,NA,NA,NA
"H1_Exp3.246","mc58-5","mc50-2","mc44-4","mc39-9","mc35-1","mc27-12","mc32-8","mc25-13","mc23-7","mc20-13","mc21-12","mc15-17",NA,NA,NA,NA,NA
"H1_Exp3.247","mc58-5","mc50-3","mc44-3","mc39-8","mc35-4","mc27-10","mc32-8","mc25-13","mc23-7","mc20-13","mc21-12",NA,NA,NA,NA,NA,NA
"H1_Exp3.248","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-12","mc23-1","mc20-12","mc21-8","mc15-17","mc13-2",NA,NA,NA,NA
"H1_Exp3.249","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-8","mc23-6","mc20-15","mc21-9","mc15-13","mc13-3","mc11-6",NA,NA,NA
"H1_Exp3.250","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-7","mc20-13","mc21-12","mc15-13",NA,NA,NA,NA,NA
"H1_Exp3.251","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-10","mc32-9","mc25-8","mc23-7","mc20-13","mc21-12","mc15-15","mc13-4",NA,NA,NA,NA
"H1_Exp3.252","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-11","mc32-11","mc25-13","mc23-7","mc20-13","mc21-8","mc15-17",NA,NA,NA,NA,NA
"H1_Exp3.253","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-11","mc25-12","mc23-6","mc20-15","mc21-9","mc15-15","mc13-3","mc11-5","mc9-4",NA,NA
"H1_Exp3.254","mc58-5","mc50-3","mc44-4","mc39-5","mc35-3","mc27-13","mc32-8","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.255","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-8","mc25-13","mc23-7","mc20-13","mc21-8",NA,NA,NA,NA,NA,NA
"H1_Exp3.256","mc58-5","mc50-3","mc44-1","mc39-5","mc35-1","mc27-12","mc32-10","mc25-7","mc23-4","mc20-12",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.257","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-7",NA,NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.258","mc58-5","mc50-2","mc44-3","mc39-8","mc35-2","mc27-11","mc32-11","mc25-12","mc23-4","mc20-12","mc21-14","mc15-17","mc13-2",NA,NA,NA,NA
"H1_Exp3.259","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-11","mc25-12","mc23-6","mc20-15","mc21-9","mc15-14",NA,NA,NA,NA,NA
"H1_Exp3.260","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-8","mc32-7","mc25-9","mc23-2","mc20-11",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.261","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-4","mc11-3",NA,NA,NA
"H1_Exp3.262","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-8","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.263","mc58-5","mc50-2","mc44-2","mc39-7","mc35-2","mc27-9","mc32-10","mc25-7","mc23-4","mc20-13","mc21-12","mc15-17",NA,NA,NA,NA,NA
"H1_Exp3.264","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-11","mc32-8","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.265","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-11","mc25-14","mc23-1","mc20-14","mc21-13","mc15-17",NA,NA,NA,NA,NA
"H1_Exp3.266","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-17","mc21-12","mc15-17","mc13-5","mc11-7",NA,NA,NA
"H1_Exp3.267","mc58-5","mc50-3","mc44-3","mc39-8","mc35-2","mc27-13","mc32-8","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.268","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-11","mc25-12","mc23-2","mc20-15","mc21-12",NA,NA,NA,NA,NA,NA
"H1_Exp3.269","mc58-5","mc50-2","mc44-3","mc39-8","mc35-2","mc27-11","mc32-10","mc25-11","mc23-4","mc20-16","mc21-8","mc15-17",NA,NA,NA,NA,NA
"H1_Exp3.270","mc58-5","mc50-3","mc44-2","mc39-7","mc35-4","mc27-9","mc32-6","mc25-14","mc23-1","mc20-11","mc21-12","mc15-17",NA,NA,NA,NA,NA
"H1_Exp3.271","mc58-6","mc50-1","mc44-1","mc39-7","mc35-4","mc27-7","mc32-7","mc25-9","mc23-3",NA,NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.272","mc58-5","mc50-2","mc44-2","mc39-7","mc35-2","mc27-11","mc32-11","mc25-12","mc23-4","mc20-12","mc21-12","mc15-15","mc13-3",NA,NA,NA,NA
"H1_Exp3.273","mc58-5","mc50-2","mc44-4","mc39-9","mc35-4","mc27-10","mc32-8","mc25-13","mc23-7","mc20-13","mc21-12",NA,NA,NA,NA,NA,NA
"H1_Exp3.274","mc58-5","mc50-2","mc44-2","mc39-9","mc35-2","mc27-11","mc32-11","mc25-12","mc23-6","mc20-15","mc21-12","mc15-17","mc13-2",NA,NA,NA,NA
"H1_Exp3.275","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-8","mc23-6","mc20-15","mc21-9","mc15-13","mc13-3","mc11-6","mc9-5","mc6-6",NA
"H1_Exp3.276","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-8","mc23-6","mc20-15","mc21-9","mc15-13",NA,NA,NA,NA,NA
"H1_Exp3.277","mc58-6","mc50-1","mc44-1","mc39-5","mc35-5","mc27-7","mc32-7","mc25-13","mc23-1","mc20-12","mc21-14","mc15-11","mc13-3","mc11-7",NA,NA,NA
"H1_Exp3.278","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-11","mc25-12","mc23-4","mc20-16","mc21-14","mc15-18","mc13-3","mc11-7","mc9-1","mc6-7","mc4-5"
"H1_Exp3.279","mc58-5","mc50-3","mc44-4","mc39-7","mc35-3","mc27-13","mc32-6","mc25-8","mc23-6","mc20-10","mc21-12","mc15-15",NA,NA,NA,NA,NA
"H1_Exp3.280","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-14","mc23-7","mc20-13","mc21-12","mc15-13","mc13-3",NA,NA,NA,NA
"H1_Exp3.281","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-6","mc25-8","mc23-6","mc20-15","mc21-12","mc15-13","mc13-3","mc11-6",NA,NA,NA
"H1_Exp3.282","mc58-5","mc50-3","mc44-2","mc39-7","mc35-2","mc27-9","mc32-11","mc25-8","mc23-6","mc20-15","mc21-9","mc15-13","mc13-3","mc11-6",NA,NA,NA
"H1_Exp3.283","mc58-5","mc50-2","mc44-2","mc39-7","mc35-2","mc27-11","mc32-11","mc25-11","mc23-6","mc20-14","mc21-8","mc15-17","mc13-2","mc11-5",NA,NA,NA
"H1_Exp3.284","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-12","mc15-17",NA,NA,NA,NA,NA
"H1_Exp3.285","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-8","mc25-13","mc23-7","mc20-13","mc21-12","mc15-17",NA,NA,NA,NA,NA
"H1_Exp3.286","mc58-6","mc50-1","mc44-1","mc39-5","mc35-5","mc27-7","mc32-7","mc25-13","mc23-1","mc20-12","mc21-12","mc15-17",NA,NA,NA,NA,NA
"H1_Exp3.287","mc58-5","mc50-3","mc44-3","mc39-8","mc35-1","mc27-9","mc32-8","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.288","mc58-5","mc50-2","mc44-1","mc39-5","mc35-5","mc27-10","mc32-9","mc25-8","mc23-6","mc20-14","mc21-12","mc15-15",NA,NA,NA,NA,NA
"H1_Exp3.289","mc58-5","mc50-2","mc44-3","mc39-8","mc35-4","mc27-8","mc32-7","mc25-13","mc23-7","mc20-13",NA,NA,NA,NA,NA,NA,NA
"H1_Exp3.290","mc58-5","mc50-2","mc44-2","mc39-8","mc35-2","mc27-11","mc32-11","mc25-12","mc23-5","mc20-15","mc21-9","mc15-14","mc13-4","mc11-4",NA,NA,NA
"H1_Exp3.291","mc58-5","mc50-3","mc44-4","mc39-9","mc35-2","mc27-11","mc32-11","mc25-13","mc23-7","mc20-13","mc21-12",NA,NA,NA,NA,NA,NA
"DEC_Batch1.001","mc58-4","mc50-4","mc44-5","mc39-1","mc35-6","mc27-1","mc32-4","mc25-1","mc23-8","mc20-1","mc21-1","mc15-9","mc13-9","mc11-9","mc9-25","mc6-12","mc4-12"
"DEC_Batch1.002","mc58-1","mc50-5","mc44-6","mc39-2","mc35-7","mc27-5","mc32-4","mc25-2","mc23-14","mc20-7","mc21-6","mc15-3","mc13-12","mc11-19","mc9-20",NA,NA
"DEC_Batch1.003","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-5","mc32-4","mc25-2","mc23-14","mc20-7","mc21-6","mc15-3","mc13-12","mc11-19","mc9-20","mc6-31","mc4-37"
"DEC_Batch1.004","mc58-1","mc50-5","mc44-6","mc39-2","mc35-8","mc27-5","mc32-4","mc25-2","mc23-14","mc20-7","mc21-6","mc15-3","mc13-12","mc11-19","mc9-20","mc6-31","mc4-37"
"DEC_Batch1.005","mc58-2","mc50-6","mc44-7","mc39-4","mc35-7","mc27-2","mc32-5","mc25-3","mc23-14","mc20-6","mc21-2","mc15-4","mc13-11","mc11-21","mc9-21","mc6-29","mc4-25"
"DEC_Batch1.007","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-3","mc23-9","mc20-2","mc21-2","mc15-10","mc13-10","mc11-10","mc9-24","mc6-11",NA
"DEC_Batch1.009","mc58-2","mc50-6","mc44-7","mc39-4","mc35-7","mc27-5","mc32-4","mc25-2","mc23-14","mc20-7","mc21-6","mc15-7","mc13-13","mc11-20","mc9-19","mc6-32","mc4-38"
"DEC_Batch1.010","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-2","mc23-10","mc20-7","mc21-2","mc15-1","mc13-21","mc11-11","mc9-22","mc6-14","mc4-15"
"DEC_Batch1.011","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-3","mc25-6","mc23-11","mc20-3","mc21-4","mc15-5","mc13-15","mc11-17","mc9-17","mc6-22","mc4-25"
"DEC_Batch1.012","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-5","mc32-5","mc25-2","mc23-10","mc20-7","mc21-2","mc15-1","mc13-21","mc11-11","mc9-22","mc6-14","mc4-15"
"DEC_Batch1.013","mc58-3","mc50-7","mc44-8","mc39-3","mc35-9","mc27-6","mc32-2","mc25-5","mc23-12","mc20-4","mc21-5","mc15-7","mc13-16","mc11-15","mc9-13","mc6-25","mc4-33"
"DEC_Batch1.014","mc58-4","mc50-4","mc44-5","mc39-1","mc35-6","mc27-1","mc32-4","mc25-1","mc23-8","mc20-1","mc21-1","mc15-9","mc13-9","mc11-9","mc9-25","mc6-13","mc4-11"
"DEC_Batch1.015","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-3","mc25-6","mc23-11","mc20-3","mc21-4","mc15-6","mc13-14","mc11-18","mc9-17","mc6-24","mc4-37"
"DEC_Batch1.016","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-3","mc25-6","mc23-11","mc20-3","mc21-4","mc15-5","mc13-14","mc11-18","mc9-17","mc6-31",NA
"DEC_Batch1.017","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-3","mc25-3","mc23-14","mc20-6","mc21-4","mc15-4","mc13-11","mc11-19","mc9-16",NA,NA
"DEC_Batch1.019","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-3","mc23-9","mc20-2","mc21-2","mc15-10","mc13-10","mc11-10","mc9-24","mc6-11","mc4-14"
"DEC_Batch1.020","mc58-1","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-2","mc23-10","mc20-7","mc21-2","mc15-1","mc13-21","mc11-11","mc9-22","mc6-14","mc4-15"
"DEC_Batch1.021","mc58-3","mc50-7","mc44-8","mc39-3","mc35-9","mc27-6","mc32-2","mc25-5","mc23-12","mc20-4","mc21-5","mc15-7","mc13-13","mc11-20","mc9-19","mc6-32","mc4-38"
"DEC_Batch1.022","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-3","mc23-9","mc20-2","mc21-2","mc15-1","mc13-21","mc11-11","mc9-21","mc6-14","mc4-13"
"DEC_Batch1.023","mc58-4","mc50-4","mc44-5","mc39-1","mc35-6","mc27-1","mc32-4","mc25-1","mc23-8","mc20-1","mc21-1","mc15-9","mc13-9","mc11-9","mc9-25","mc6-12","mc4-12"
"DEC_Batch1.024","mc58-2","mc50-6","mc44-7","mc39-4","mc35-7","mc27-2","mc32-5","mc25-3","mc23-9","mc20-6","mc21-4","mc15-4","mc13-18","mc11-21","mc9-16",NA,NA
"DEC_Batch1.025","mc58-2","mc50-6","mc44-6","mc39-2","mc35-8","mc27-3","mc32-1","mc25-4","mc23-15","mc20-8","mc21-2","mc15-1","mc13-15","mc11-17","mc9-22","mc6-14","mc4-17"
"DEC_Batch1.026","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-3","mc25-6","mc23-11","mc20-3","mc21-4","mc15-5","mc13-15","mc11-17","mc9-17","mc6-22","mc4-31"
"DEC_Batch1.027","mc58-2","mc50-6","mc44-7","mc39-4","mc35-7","mc27-2","mc32-5","mc25-3","mc23-14","mc20-6","mc21-4","mc15-4","mc13-11","mc11-21","mc9-16","mc6-29",NA
"DEC_Batch1.028","mc58-1","mc50-5","mc44-6","mc39-1","mc35-7","mc27-5","mc32-5","mc25-2","mc23-10","mc20-7","mc21-2","mc15-1","mc13-21","mc11-11","mc9-22","mc6-14","mc4-15"
"DEC_Batch1.029","mc58-4","mc50-4","mc44-5","mc39-1","mc35-6","mc27-1","mc32-4","mc25-1","mc23-8","mc20-1","mc21-1","mc15-9","mc13-9","mc11-9","mc9-25","mc6-12","mc4-12"
"DEC_Batch1.030","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-3","mc23-9","mc20-2","mc21-2","mc15-10","mc13-10","mc11-10","mc9-24","mc6-11","mc4-14"
"DEC_Batch1.031","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-3","mc23-9","mc20-2","mc21-2","mc15-10","mc13-10","mc11-10","mc9-24","mc6-11","mc4-14"
"DEC_Batch1.032","mc58-2","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-3","mc23-9","mc20-2","mc21-2","mc15-10","mc13-10","mc11-10","mc9-22",NA,NA
"DEC_Batch1.033","mc58-4","mc50-4","mc44-5","mc39-1","mc35-6","mc27-1","mc32-4","mc25-1","mc23-8","mc20-1","mc21-1","mc15-9","mc13-9","mc11-9","mc9-25","mc6-13","mc4-11"
"DEC_Batch1.034","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-5","mc25-3","mc23-14","mc20-6","mc21-4","mc15-4","mc13-14","mc11-19","mc9-20",NA,NA
"DEC_Batch1.035","mc58-2","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-3","mc23-9","mc20-6","mc21-4","mc15-4","mc13-11","mc11-21","mc9-16","mc6-29","mc4-26"
"DEC_Batch1.036","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-3","mc25-6","mc23-11","mc20-3","mc21-4","mc15-5","mc13-15","mc11-14","mc9-15",NA,NA
"DEC_Batch1.037","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-2","mc32-5","mc25-3","mc23-14","mc20-6","mc21-4","mc15-4","mc13-11","mc11-21","mc9-16","mc6-29","mc4-26"
"DEC_Batch1.038","mc58-4","mc50-4","mc44-5","mc39-1","mc35-6","mc27-1","mc32-4","mc25-1","mc23-8","mc20-1","mc21-1","mc15-9","mc13-9","mc11-9","mc9-25","mc6-13","mc4-11"
"DEC_Batch1.039","mc58-4","mc50-4","mc44-5","mc39-1","mc35-6","mc27-1","mc32-4","mc25-1","mc23-8","mc20-1","mc21-1","mc15-9","mc13-9","mc11-9","mc9-25","mc6-13","mc4-11"
"DEC_Batch1.040","mc58-2","mc50-6","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-2","mc23-14","mc20-7","mc21-6","mc15-3","mc13-12","mc11-19","mc9-20","mc6-31","mc4-25"
"DEC_Batch1.041","mc58-4","mc50-4","mc44-5","mc39-1","mc35-6","mc27-1","mc32-4","mc25-1","mc23-8","mc20-1","mc21-1","mc15-9","mc13-9","mc11-9","mc9-25","mc6-12","mc4-12"
"DEC_Batch1.042","mc58-3","mc50-7","mc44-8","mc39-3","mc35-9","mc27-6","mc32-2","mc25-5","mc23-12","mc20-4","mc21-5","mc15-7","mc13-13","mc11-20","mc9-19","mc6-32","mc4-38"
"DEC_Batch1.043","mc58-3","mc50-7","mc44-8","mc39-3","mc35-9","mc27-6","mc32-2","mc25-5","mc23-12","mc20-4","mc21-5","mc15-7","mc13-13","mc11-20","mc9-19","mc6-32","mc4-38"
"DEC_Batch1.044","mc58-2","mc50-6","mc44-8","mc39-3","mc35-7","mc27-5","mc32-4","mc25-2","mc23-14","mc20-7","mc21-6","mc15-3","mc13-13","mc11-20","mc9-19","mc6-31","mc4-37"
"DEC_Batch1.046","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-3","mc25-6","mc23-11","mc20-6","mc21-4","mc15-6","mc13-14","mc11-18","mc9-18","mc6-24",NA
"DEC_Batch1.047","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-2","mc32-5","mc25-3","mc23-9","mc20-2","mc21-2","mc15-10","mc13-10","mc11-10","mc9-24","mc6-11","mc4-14"
"DEC_Batch1.048","mc58-4","mc50-4","mc44-5","mc39-1","mc35-6","mc27-1","mc32-4","mc25-1","mc23-8","mc20-1","mc21-1","mc15-9","mc13-9","mc11-9","mc9-25","mc6-12","mc4-12"
"DEC_Batch1.049","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-3","mc25-3","mc23-14","mc20-6","mc21-4","mc15-4","mc13-11","mc11-21","mc9-16","mc6-29","mc4-26"
"DEC_Batch1.050","mc58-1","mc50-5","mc44-6","mc39-2","mc35-8","mc27-3","mc32-1","mc25-4","mc23-15","mc20-8","mc21-7","mc15-2","mc13-18","mc11-22","mc9-10",NA,NA
"DEC_Batch1.051","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-5","mc32-3","mc25-6","mc23-11","mc20-3","mc21-4","mc15-6","mc13-14","mc11-18","mc9-18","mc6-30",NA
"DEC_Batch1.052","mc58-2","mc50-6","mc44-7","mc39-4","mc35-10","mc27-4","mc32-3","mc25-6","mc23-11","mc20-3","mc21-4","mc15-6","mc13-14","mc11-18","mc9-18","mc6-30","mc4-24"
"DEC_Batch1.053","mc58-4","mc50-4","mc44-5","mc39-1","mc35-7","mc27-5","mc32-4","mc25-2","mc23-14","mc20-7","mc21-6","mc15-3","mc13-12","mc11-12","mc9-26","mc6-31","mc4-37"
