"","58","50","44","39","35","27","32","25","23","20","21","15","13","11","9","6","4"
"H1_Exp1.032","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-4","mc20-12","mc21-8","mc15-17",NA,NA,NA,NA,NA
"H1_Exp1.033","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-3","mc9-2","mc6-8",NA
"H1_Exp1.035","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-9","mc6-4","mc4-4"
"H1_Exp1.036","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-7","mc23-3","mc20-9","mc21-15","mc15-19",NA,NA,NA,NA,NA
"H1_Exp1.038","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-7","mc6-1","mc4-3"
"H1_Exp1.039","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-2","mc6-8","mc4-1"
"H1_Exp1.040","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-4","mc9-4","mc6-3",NA
"H1_Exp1.041","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-7","mc11-1","mc9-6","mc6-2","mc4-7"
"H1_Exp1.042","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-5","mc9-7","mc6-1","mc4-3"
"H1_Exp1.043","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-16","mc21-14","mc15-18","mc13-2","mc11-2","mc9-7","mc6-6",NA
