"","192","193","178","165","154","155","145","136","129","122","137","116","111","106","102","98","94","97","90","84","87","78","74","76","81","72","71","66","69","61","59","64","58","54","51","45","46","42","38","33","34","29","27","26","23","22","19","18","16","15","14","12","10","9","8","7","5","4"
"W2039712","mc192-3","mc193-4","mc178-6","mc165-6","mc154-13","mc155-4","mc145-7","mc136-11","mc129-15","mc122-10","mc137-8","mc116-7","mc111-12","mc106-12","mc102-10","mc98-14","mc94-13","mc97-12","mc90-12","mc84-28","mc87-10","mc78-11","mc74-13","mc76-16","mc81-10","mc72-22","mc71-21","mc66-23","mc69-18","mc61-24","mc59-21","mc64-19","mc58-27","mc54-25","mc51-26","mc45-24","mc46-29","mc42-50","mc38-58","mc33-67","mc34-41","mc29-46","mc27-82","mc26-53","mc23-75","mc22-78","mc19-73","mc18-62","mc16-77","mc15-112","mc14-164","mc12-190","mc10-92","mc9-137","mc8-163","mc7-149","mc5-273","mc4-131"
"W2039736","mc192-4","mc193-4","mc178-10","mc165-6","mc154-7","mc155-4","mc145-7","mc136-11","mc129-16","mc122-10","mc137-8","mc116-7","mc111-8","mc106-12","mc102-9","mc98-13","mc94-12","mc97-14","mc90-13","mc84-27","mc87-16","mc78-21","mc74-12","mc76-17","mc81-18","mc72-21","mc71-20","mc66-22","mc69-17","mc61-23","mc59-20","mc64-29","mc58-28","mc54-32","mc51-27","mc45-36","mc46-44","mc42-54","mc38-59","mc33-66","mc34-39","mc29-67","mc27-83","mc26-52","mc23-66","mc22-82","mc19-55","mc18-75","mc16-138","mc15-98","mc14-169","mc12-82","mc10-224","mc9-128","mc8-253","mc7-149","mc5-277","mc4-223"
"W2039740","mc192-12","mc193-7","mc178-4","mc165-13","mc154-1","mc155-7","mc145-4","mc136-4","mc129-1","mc122-4","mc137-3","mc116-4","mc111-5","mc106-6","mc102-5","mc98-6","mc94-1","mc97-6","mc90-1","mc84-7","mc87-1","mc78-7","mc74-7","mc76-1","mc81-7","mc72-1","mc71-1","mc66-2","mc69-2","mc61-1","mc59-8","mc64-1","mc58-6","mc54-9","mc51-13","mc45-13","mc46-11","mc42-5","mc38-11","mc33-12","mc34-12","mc29-14","mc27-13","mc26-23","mc23-23","mc22-8","mc19-20","mc18-16","mc16-32","mc15-9","mc14-3","mc12-12","mc10-9","mc9-1","mc8-12","mc7-111","mc5-75","mc4-469"
"W2039755","mc192-12","mc193-12","mc178-4","mc165-13","mc154-15","mc155-13","mc145-12","mc136-13","mc129-1","mc122-15","mc137-7","mc116-15","mc111-15","mc106-15","mc102-18","mc98-19","mc94-17","mc97-18","mc90-18","mc84-14","mc87-18","mc78-22","mc74-21","mc76-24","mc81-20","mc72-23","mc71-24","mc66-30","mc69-22","mc61-27","mc59-28","mc64-34","mc58-29","mc54-26","mc51-30","mc45-35","mc46-36","mc42-20","mc38-19","mc33-27","mc34-47","mc29-68","mc27-51","mc26-62","mc23-100","mc22-100","mc19-119","mc18-125","mc16-112","mc15-141","mc14-154","mc12-92","mc10-169","mc9-208","mc8-290","mc7-251","mc5-332","mc4-62"
"W2039759","mc192-1","mc193-2","mc178-7","mc165-9","mc154-12","mc155-15","mc145-14","mc136-17","mc129-8","mc122-18","mc137-14","mc116-20","mc111-20","mc106-21","mc102-23","mc98-24","mc94-23","mc97-22","mc90-21","mc84-11","mc87-21","mc78-30","mc74-32","mc76-29","mc81-27","mc72-30","mc71-28","mc66-26","mc69-30","mc61-37","mc59-33","mc64-21","mc58-40","mc54-38","mc51-39","mc45-47","mc46-49","mc42-28","mc38-40","mc33-30","mc34-65","mc29-58","mc27-66","mc26-91","mc23-87","mc22-61","mc19-111","mc18-115","mc16-152","mc15-145","mc14-137","mc12-104","mc10-206","mc9-219","mc8-250","mc7-354","mc5-386","mc4-233"
"W2039771","mc192-9","mc193-10","mc178-3","mc165-12","mc154-5","mc155-10","mc145-3","mc136-2","mc129-6","mc122-2","mc137-2","mc116-2","mc111-4","mc106-4","mc102-1","mc98-5","mc94-8","mc97-5","mc90-5","mc84-1","mc87-8","mc78-5","mc74-1","mc76-4","mc81-6","mc72-6","mc71-10","mc66-10","mc69-9","mc61-9","mc59-2","mc64-10","mc58-1","mc54-8","mc51-2","mc45-4","mc46-1","mc42-7","mc38-8","mc33-15","mc34-15","mc29-2","mc27-16","mc26-20","mc23-5","mc22-62","mc19-93","mc18-118","mc16-151","mc15-6","mc14-139","mc12-103","mc10-209","mc9-222","mc8-251","mc7-334","mc5-119","mc4-366"
"W2039776","mc192-1","mc193-2","mc178-6","mc165-9","mc154-13","mc155-15","mc145-14","mc136-17","mc129-8","mc122-18","mc137-15","mc116-20","mc111-20","mc106-22","mc102-23","mc98-24","mc94-23","mc97-22","mc90-21","mc84-11","mc87-21","mc78-28","mc74-28","mc76-29","mc81-27","mc72-30","mc71-27","mc66-26","mc69-27","mc61-37","mc59-27","mc64-33","mc58-33","mc54-38","mc51-37","mc45-37","mc46-45","mc42-18","mc38-28","mc33-42","mc34-50","mc29-45","mc27-40","mc26-85","mc23-89","mc22-76","mc19-94","mc18-114","mc16-150","mc15-150","mc14-149","mc12-94","mc10-220","mc9-223","mc8-203","mc7-150","mc5-232","mc4-367"
"W2039777","mc192-6","mc193-5","mc178-13","mc165-2","mc154-9","mc155-2","mc145-9","mc136-8","mc129-13","mc122-11","mc137-12","mc116-10","mc111-10","mc106-10","mc102-13","mc98-12","mc94-11","mc97-17","mc90-16","mc84-24","mc87-14","mc78-16","mc74-14","mc76-12","mc81-19","mc72-17","mc71-14","mc66-15","mc69-10","mc61-22","mc59-19","mc64-15","mc58-15","mc54-20","mc51-17","mc45-19","mc46-27","mc42-40","mc38-45","mc33-57","mc34-24","mc29-42","mc27-57","mc26-33","mc23-36","mc22-69","mc19-72","mc18-47","mc16-38","mc15-68","mc14-68","mc12-143","mc10-117","mc9-100","mc8-120","mc7-174","mc5-263","mc4-108"
"W2039801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mc72-5","mc71-5",NA,"mc69-5",NA,"mc59-11",NA,NA,NA,NA,NA,NA,"mc42-14","mc38-13","mc33-16","mc34-20","mc29-21","mc27-24","mc26-13","mc23-20","mc22-3","mc19-31","mc18-33","mc16-20","mc15-39","mc14-37","mc12-44","mc10-62","mc9-26","mc8-26","mc7-93","mc5-7","mc4-387"
"W2039812","mc192-8","mc193-9","mc178-2","mc165-11","mc154-3","mc155-8","mc145-5","mc136-5","mc129-2","mc122-6","mc137-5","mc116-5","mc111-6","mc106-8","mc102-8","mc98-8","mc94-2","mc97-8","mc90-2","mc84-9","mc87-2","mc78-9","mc74-9","mc76-2","mc81-8","mc72-3","mc71-3","mc66-4","mc69-3","mc61-3","mc59-6","mc64-4","mc58-5","mc54-4","mc51-11","mc45-12","mc46-7","mc42-4","mc38-2","mc33-5","mc34-9","mc29-7","mc27-10","mc26-9","mc23-19","mc22-9","mc19-14","mc18-8","mc16-15","mc15-23","mc14-20","mc12-38","mc10-20","mc9-46","mc8-45","mc7-65","mc5-52","mc4-536"
"W2039814","mc192-10","mc193-8","mc178-1","mc165-10","mc154-4","mc155-11","mc145-1","mc136-1","mc129-4","mc122-1","mc137-1","mc116-1","mc111-2","mc106-2","mc102-3","mc98-1","mc94-4","mc97-1","mc90-8","mc84-3","mc87-5","mc78-2","mc74-4","mc76-6","mc81-1","mc72-11","mc71-6","mc66-9","mc69-6","mc61-7","mc59-4","mc64-7","mc58-9","mc54-14","mc51-6","mc45-7","mc46-5","mc42-16","mc38-17","mc33-19","mc34-16","mc29-20","mc27-21","mc26-16","mc23-11","mc22-27","mc19-34","mc18-30","mc16-21","mc15-41","mc14-36","mc12-51","mc10-61","mc9-54","mc8-20","mc7-39","mc5-92","mc4-514"
"W2039829","mc192-7","mc193-9","mc178-2","mc165-11","mc154-1","mc155-9","mc145-6","mc136-6","mc129-3","mc122-5","mc137-4","mc116-6","mc111-7","mc106-7","mc102-7","mc98-7","mc94-3","mc97-7","mc90-3","mc84-10","mc87-3","mc78-8","mc74-10","mc76-3","mc81-9","mc72-4","mc71-2","mc66-3","mc69-4","mc61-2","mc59-5","mc64-2","mc58-3","mc54-3","mc51-10","mc45-11","mc46-14","mc42-11","mc38-5","mc33-8","mc34-5","mc29-11","mc27-9","mc26-11","mc23-18","mc22-13","mc19-4","mc18-7","mc16-10","mc15-17","mc14-14","mc12-8","mc10-19","mc9-47","mc8-97","mc7-9","mc5-148","mc4-517"
"W2039855","mc192-4","mc193-11","mc178-10","mc165-6","mc154-14","mc155-13","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-17","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-30","mc46-38","mc42-22","mc38-20","mc33-24","mc34-47","mc29-80","mc27-28","mc26-62","mc23-102","mc22-87","mc19-76","mc18-61","mc16-131","mc15-127","mc14-162","mc12-180","mc10-73","mc9-233","mc8-275","mc7-258","mc5-404","mc4-28"
"W2039893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mc46-29","mc42-50",NA,NA,NA,"mc29-46","mc27-82",NA,"mc23-75","mc22-78","mc19-77","mc18-76","mc16-61","mc15-112","mc14-148","mc12-189","mc10-227","mc9-125","mc8-246","mc7-148","mc5-411","mc4-315"
"W2039916","mc192-8","mc193-9","mc178-2","mc165-11","mc154-3","mc155-8","mc145-5","mc136-5","mc129-2","mc122-6","mc137-5","mc116-5","mc111-6","mc106-8","mc102-8","mc98-8","mc94-2","mc97-8","mc90-2","mc84-9","mc87-2","mc78-9","mc74-9","mc76-2","mc81-8","mc72-2","mc71-3","mc66-6","mc69-3","mc61-3","mc59-6","mc64-4","mc58-7","mc54-1","mc51-14","mc45-14","mc46-10","mc42-9","mc38-4","mc33-4","mc34-6","mc29-12","mc27-2","mc26-25","mc23-24","mc22-14","mc19-6","mc18-14","mc16-14","mc15-16","mc14-18","mc12-35","mc10-39","mc9-6","mc8-93","mc7-62","mc5-150","mc4-528"
"W2039932","mc192-9","mc193-10","mc178-3","mc165-12","mc154-2","mc155-9","mc145-6","mc136-6","mc129-3","mc122-5","mc137-4","mc116-6","mc111-7","mc106-7","mc102-7","mc98-7","mc94-3","mc97-7","mc90-3","mc84-10","mc87-3","mc78-8","mc74-10","mc76-3","mc81-9","mc72-4","mc71-2","mc66-5","mc69-4","mc61-2","mc59-5","mc64-2","mc58-3","mc54-2","mc51-10","mc45-16","mc46-12","mc42-11","mc38-5","mc33-8","mc34-3","mc29-5","mc27-9","mc26-11","mc23-6","mc22-20","mc19-10","mc18-1","mc16-8","mc15-30","mc14-23","mc12-55","mc10-46","mc9-63","mc8-75","mc7-54","mc5-104","mc4-498"
"W2039948","mc192-1","mc193-2","mc178-8","mc165-8","mc154-11","mc155-14","mc145-13","mc136-16","mc129-10","mc122-16","mc137-16","mc116-12","mc111-17","mc106-18","mc102-22","mc98-20","mc94-20","mc97-21","mc90-25","mc84-20","mc87-26","mc78-27","mc74-31","mc76-27","mc81-24","mc72-28","mc71-32","mc66-36","mc69-26","mc61-39","mc59-31","mc64-31","mc58-38","mc54-44","mc51-34","mc45-49","mc46-42","mc42-26","mc38-36","mc33-35","mc34-55","mc29-76","mc27-42","mc26-66","mc23-62","mc22-91","mc19-117","mc18-94","mc16-139","mc15-156","mc14-97","mc12-168","mc10-78","mc9-150","mc8-238","mc7-321","mc5-221","mc4-109"
"W2039953","mc192-4","mc193-4","mc178-10","mc165-6","mc154-7","mc155-4","mc145-7","mc136-11","mc129-16","mc122-10","mc137-8","mc116-7","mc111-8","mc106-12","mc102-9","mc98-13","mc94-12","mc97-14","mc90-13","mc84-27","mc87-16","mc78-21","mc74-12","mc76-17","mc81-18","mc72-21","mc71-20","mc66-22","mc69-15","mc61-23","mc59-20","mc64-20","mc58-19","mc54-23","mc51-25","mc45-42","mc46-28","mc42-51","mc38-57","mc33-65","mc34-38","mc29-47","mc27-84","mc26-87","mc23-80","mc22-75","mc19-60","mc18-83","mc16-76","mc15-76","mc14-177","mc12-107","mc10-194","mc9-264","mc8-291","mc7-317","mc5-271","mc4-193"
"W2039956","mc192-9","mc193-10","mc178-3","mc165-12","mc154-5","mc155-10","mc145-3","mc136-3","mc129-5","mc122-3","mc137-2","mc116-2","mc111-4","mc106-5","mc102-1","mc98-4","mc94-7","mc97-4","mc90-4","mc84-2","mc87-7","mc78-5","mc74-1","mc76-4","mc81-6","mc72-8","mc71-11","mc66-10","mc69-9","mc61-9","mc59-2","mc64-10","mc58-12","mc54-11","mc51-4","mc45-4","mc46-17","mc42-7","mc38-8","mc33-13","mc34-15","mc29-16","mc27-16","mc26-19","mc23-4","mc22-24","mc19-25","mc18-24","mc16-34","mc15-12","mc14-48","mc12-19","mc10-18","mc9-62","mc8-17","mc7-2","mc5-103","mc4-419"
"W2039970","mc192-6","mc193-5","mc178-13","mc165-2","mc154-9","mc155-2","mc145-9","mc136-8","mc129-13","mc122-11","mc137-12","mc116-10","mc111-10","mc106-10","mc102-13","mc98-12","mc94-11","mc97-17","mc90-16","mc84-24","mc87-14","mc78-15","mc74-16","mc76-13","mc81-15","mc72-15","mc71-15","mc66-17","mc69-14","mc61-21","mc59-18","mc64-17","mc58-18","mc54-17","mc51-16","mc45-22","mc46-26","mc42-36","mc38-46","mc33-51","mc34-25","mc29-35","mc27-64","mc26-31","mc23-32","mc22-43","mc19-48","mc18-40","mc16-44","mc15-49","mc14-78","mc12-151","mc10-130","mc9-170","mc8-100","mc7-185","mc5-193","mc4-95"
"W2039971","mc192-9","mc193-10","mc178-3","mc165-12","mc154-2","mc155-9","mc145-2","mc136-3","mc129-5","mc122-3","mc137-4","mc116-3","mc111-3","mc106-5","mc102-1","mc98-4","mc94-7","mc97-4","mc90-4","mc84-2","mc87-7","mc78-6","mc74-2","mc76-5","mc81-5","mc72-7","mc71-9","mc66-11","mc69-8","mc61-8","mc59-1","mc64-9","mc58-11","mc54-12","mc51-5","mc45-5","mc46-16","mc42-6","mc38-9","mc33-14","mc34-14","mc29-1","mc27-18","mc26-22","mc23-8","mc22-22","mc19-23","mc18-22","mc16-28","mc15-31","mc14-41","mc12-53","mc10-29","mc9-37","mc8-79","mc7-110","mc5-97","mc4-525"
"W2039973","mc192-3","mc193-3","mc178-9","mc165-7","mc154-6","mc155-15","mc145-16","mc136-10","mc129-9","mc122-19","mc137-13","mc116-13","mc111-21","mc106-19","mc102-19","mc98-22","mc94-24","mc97-24","mc90-22","mc84-19","mc87-12","mc78-30","mc74-30","mc76-30","mc81-29","mc72-20","mc71-17","mc66-19","mc69-34","mc61-12","mc59-35","mc64-11","mc58-26","mc54-34","mc51-41","mc45-25","mc46-35","mc42-25","mc38-32","mc33-31","mc34-33","mc29-60","mc27-68","mc26-86","mc23-44","mc22-73","mc19-100","mc18-90","mc16-119","mc15-81","mc14-164","mc12-110","mc10-231","mc9-247","mc8-217","mc7-146","mc5-317","mc4-200"
"W2039978","mc192-6","mc193-4","mc178-11","mc165-4","mc154-8","mc155-6","mc145-15","mc136-12","mc129-11","mc122-9","mc137-9","mc116-11","mc111-11","mc106-14","mc102-21","mc98-15","mc94-16","mc97-10","mc90-14","mc84-21","mc87-12","mc78-14","mc74-18","mc76-20","mc81-17","mc72-20","mc71-17","mc66-18","mc69-29","mc61-14","mc59-22","mc64-29","mc58-21","mc54-30","mc51-27","mc45-38","mc46-30","mc42-57","mc38-59","mc33-72","mc34-70","mc29-44","mc27-39","mc26-50","mc23-48","mc22-82","mc19-55","mc18-110","mc16-39","mc15-89","mc14-130","mc12-83","mc10-231","mc9-247","mc8-217","mc7-318","mc5-421","mc4-228"
"W2039979","mc192-4","mc193-4","mc178-10","mc165-6","mc154-7","mc155-4","mc145-7","mc136-11","mc129-16","mc122-10","mc137-8","mc116-7","mc111-8","mc106-12","mc102-9","mc98-13","mc94-12","mc97-14","mc90-13","mc84-27","mc87-16","mc78-21","mc74-12","mc76-17","mc81-18","mc72-21","mc71-20","mc66-23","mc69-15","mc61-24","mc59-21","mc64-19","mc58-27","mc54-25","mc51-26","mc45-24","mc46-29","mc42-50","mc38-58","mc33-67","mc34-40","mc29-46","mc27-82","mc26-53","mc23-75","mc22-77","mc19-61","mc18-73","mc16-66","mc15-116","mc14-163","mc12-172","mc10-72","mc9-140","mc8-221","mc7-146","mc5-226","mc4-56"
"W2039980","mc192-6","mc193-5","mc178-13","mc165-2","mc154-9","mc155-2","mc145-9","mc136-8","mc129-13","mc122-11","mc137-12","mc116-10","mc111-10","mc106-10","mc102-13","mc98-12","mc94-11","mc97-17","mc90-16","mc84-24","mc87-14","mc78-15","mc74-15","mc76-13","mc81-13","mc72-15","mc71-15","mc66-13","mc69-12","mc61-21","mc59-15","mc64-12","mc58-14","mc54-15","mc51-20","mc45-20","mc46-20","mc42-42","mc38-41","mc33-60","mc34-33","mc29-41","mc27-56","mc26-35","mc23-44","mc22-46","mc19-69","mc18-47","mc16-38","mc15-68","mc14-68","mc12-143","mc10-117","mc9-100","mc8-120","mc7-174","mc5-263","mc4-108"
"W2039984","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-18","mc122-7","mc137-9","mc116-11","mc111-11","mc106-14","mc102-16","mc98-17","mc94-14","mc97-9","mc90-14","mc84-26","mc87-17","mc78-20","mc74-22","mc76-25","mc81-21","mc72-24","mc71-22","mc66-28","mc69-16","mc61-34","mc59-37","mc64-35","mc58-23","mc54-33","mc51-29","mc45-39","mc46-48","mc42-49","mc38-56","mc33-68","mc34-60","mc29-51","mc27-75","mc26-94","mc23-50","mc22-60","mc19-116","mc18-93","mc16-68","mc15-87","mc14-13","mc12-5","mc10-3","mc9-16","mc8-207","mc7-27","mc5-388","mc4-356"
"W2039989",NA,"mc193-4",NA,NA,NA,"mc155-4","mc145-7",NA,"mc129-15","mc122-10",NA,NA,"mc111-12",NA,"mc102-10","mc98-14","mc94-13","mc97-12","mc90-12","mc84-28","mc87-10","mc78-11","mc74-13","mc76-16","mc81-10","mc72-22","mc71-21","mc66-23","mc69-18","mc61-24","mc59-21","mc64-14","mc58-27","mc54-25","mc51-26","mc45-24","mc46-18","mc42-43","mc38-58","mc33-61","mc34-27","mc29-33","mc27-57","mc26-42","mc23-39","mc22-38","mc19-36","mc18-56","mc16-42","mc15-67","mc14-61","mc12-149","mc10-99","mc9-135","mc8-134","mc7-153","mc5-166","mc4-180"
"W2039992","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-31","mc46-38","mc42-22","mc38-19","mc33-27","mc34-47","mc29-80","mc27-28","mc26-62","mc23-100","mc22-100","mc19-119","mc18-125","mc16-112","mc15-141","mc14-154","mc12-92","mc10-169","mc9-208","mc8-167","mc7-227","mc5-417","mc4-10"
"W2039993","mc192-4","mc193-4","mc178-10","mc165-6","mc154-7","mc155-4","mc145-7","mc136-11","mc129-16","mc122-10","mc137-8","mc116-7","mc111-12","mc106-12","mc102-10","mc98-14","mc94-13","mc97-14","mc90-13","mc84-27","mc87-16","mc78-11","mc74-13","mc76-17","mc81-10","mc72-21","mc71-20","mc66-23","mc69-15","mc61-24","mc59-21","mc64-19","mc58-27","mc54-25","mc51-26","mc45-24","mc46-29","mc42-50","mc38-58","mc33-67","mc34-40","mc29-46","mc27-82","mc26-53","mc23-75","mc22-77","mc19-61","mc18-73","mc16-66","mc15-116","mc14-164","mc12-110","mc10-231","mc9-247","mc8-217","mc7-146","mc5-317","mc4-200"
"W2039996","mc192-6","mc193-5","mc178-13","mc165-3","mc154-9","mc155-1","mc145-10","mc136-9","mc129-13","mc122-12","mc137-11","mc116-9","mc111-9","mc106-11","mc102-12","mc98-11","mc94-10","mc97-16","mc90-17","mc84-25","mc87-15","mc78-16","mc74-17","mc76-12","mc81-16","mc72-14","mc71-16","mc66-16","mc69-13","mc61-20","mc59-16","mc64-16","mc58-16","mc54-19","mc51-18","mc45-19","mc46-21","mc42-45","mc38-46","mc33-56","mc34-25","mc29-38","mc27-58","mc26-38","mc23-33","mc22-34","mc19-50","mc18-38","mc16-47","mc15-51","mc14-81","mc12-152","mc10-122","mc9-169","mc8-134","mc7-203","mc5-192","mc4-94"
"W2040010","mc192-6","mc193-5","mc178-13","mc165-2","mc154-9","mc155-2","mc145-9","mc136-8","mc129-13","mc122-11","mc137-12","mc116-10","mc111-10","mc106-10","mc102-13","mc98-12","mc94-11","mc97-17","mc90-16","mc84-24","mc87-14","mc78-15","mc74-15","mc76-13","mc81-15","mc72-15","mc71-13","mc66-14","mc69-14","mc61-21","mc59-18","mc64-13","mc58-18","mc54-16","mc51-19","mc45-17","mc46-23","mc42-46","mc38-55","mc33-49","mc34-32","mc29-66","mc27-80","mc26-28","mc23-47","mc22-53","mc19-111","mc18-48","mc16-59","mc15-99","mc14-123","mc12-169","mc10-102","mc9-127","mc8-150","mc7-158","mc5-227","mc4-129"
"W2040024","mc192-8","mc193-9","mc178-2","mc165-11","mc154-3","mc155-8","mc145-5","mc136-5","mc129-2","mc122-6","mc137-5","mc116-5","mc111-6","mc106-8","mc102-8","mc98-8","mc94-2","mc97-8","mc90-2","mc84-9","mc87-2","mc78-9","mc74-9","mc76-2","mc81-8","mc72-2","mc71-3","mc66-6","mc69-3","mc61-3","mc59-9","mc64-4","mc58-7","mc54-1","mc51-14","mc45-14","mc46-10","mc42-9","mc38-4","mc33-4","mc34-6","mc29-12","mc27-2","mc26-25","mc23-24","mc22-14","mc19-6","mc18-14","mc16-14","mc15-16","mc14-18","mc12-35","mc10-39","mc9-78","mc8-57","mc7-59","mc5-60","mc4-451"
"W2040041","mc192-10","mc193-8","mc178-1","mc165-10","mc154-4","mc155-11","mc145-1","mc136-1","mc129-4","mc122-1","mc137-1","mc116-1","mc111-1","mc106-1","mc102-2","mc98-3","mc94-6","mc97-3","mc90-7","mc84-4","mc87-4","mc78-4","mc74-6","mc76-9","mc81-2","mc72-5","mc71-5","mc66-7","mc69-5","mc61-5","mc59-4","mc64-6","mc58-8","mc54-10","mc51-3","mc45-3","mc46-4","mc42-13","mc38-14","mc33-17","mc34-19","mc29-22","mc27-23","mc26-14","mc23-9","mc22-26","mc19-29","mc18-27","mc16-18","mc15-35","mc14-32","mc12-41","mc10-70","mc9-22","mc8-33","mc7-98","mc5-24","mc4-380"
"W2040044","mc192-3","mc193-4","mc178-9","mc165-6","mc154-7","mc155-4","mc145-7","mc136-11","mc129-15","mc122-10","mc137-8","mc116-7","mc111-12","mc106-12","mc102-10","mc98-14","mc94-13","mc97-12","mc90-12","mc84-28","mc87-10","mc78-11","mc74-13","mc76-16","mc81-10","mc72-22","mc71-21","mc66-23","mc69-18","mc61-24","mc59-21","mc64-19","mc58-27","mc54-25","mc51-26","mc45-24","mc46-29","mc42-50","mc38-58","mc33-67","mc34-70","mc29-46","mc27-82","mc26-50","mc23-75","mc22-78","mc19-116","mc18-73","mc16-81","mc15-71","mc14-140","mc12-184","mc10-99","mc9-245","mc8-201","mc7-357","mc5-241","mc4-188"
"W2040048","mc192-6","mc193-5","mc178-13","mc165-2","mc154-9","mc155-2","mc145-9","mc136-8","mc129-13","mc122-11","mc137-12","mc116-10","mc111-10","mc106-10","mc102-13","mc98-12","mc94-11","mc97-17","mc90-16","mc84-24","mc87-14","mc78-15","mc74-15","mc76-13","mc81-15","mc72-15","mc71-15","mc66-17","mc69-14","mc61-21","mc59-18","mc64-17","mc58-18","mc54-17","mc51-19","mc45-18","mc46-19","mc42-36","mc38-42","mc33-50","mc34-26","mc29-37","mc27-64","mc26-36","mc23-32","mc22-31","mc19-46","mc18-41","mc16-46","mc15-48","mc14-79","mc12-153","mc10-137","mc9-93","mc8-110","mc7-187","mc5-179","mc4-145"
"W2040081","mc192-6","mc193-11","mc178-11","mc165-4","mc154-8","mc155-6","mc145-15","mc136-12","mc129-18","mc122-9","mc137-9","mc116-11","mc111-11","mc106-14","mc102-16","mc98-15","mc94-16","mc97-10","mc90-14","mc84-21","mc87-12","mc78-14","mc74-18","mc76-20","mc81-17","mc72-20","mc71-17","mc66-18","mc69-29","mc61-14","mc59-22","mc64-29","mc58-23","mc54-32","mc51-46","mc45-38","mc46-31","mc42-54","mc38-31","mc33-72","mc34-59","mc29-44","mc27-88","mc26-52","mc23-48","mc22-82","mc19-55","mc18-90","mc16-107","mc15-140","mc14-145","mc12-83","mc10-111","mc9-262","mc8-245","mc7-318","mc5-301","mc4-214"
"W2040116","mc192-4","mc193-4","mc178-10","mc165-6","mc154-7","mc155-6","mc145-15","mc136-12","mc129-11","mc122-17","mc137-17","mc116-16","mc111-16","mc106-17","mc102-21","mc98-21","mc94-16","mc97-20","mc90-24","mc84-13","mc87-24","mc78-26","mc74-11","mc76-21","mc81-23","mc72-27","mc71-31","mc66-32","mc69-29","mc61-33","mc59-29","mc64-28","mc58-21","mc54-30","mc51-44","mc45-38","mc46-46","mc42-56","mc38-60","mc33-71","mc34-27","mc29-33","mc27-57","mc26-42","mc23-39","mc22-38","mc19-36","mc18-56","mc16-42","mc15-67","mc14-61","mc12-149","mc10-99","mc9-135","mc8-133","mc7-127","mc5-161","mc4-141"
"W2040140","mc192-4","mc193-4","mc178-10","mc165-6","mc154-7","mc155-4","mc145-7","mc136-11","mc129-15","mc122-10","mc137-8","mc116-7","mc111-12","mc106-12","mc102-10","mc98-14","mc94-13","mc97-12","mc90-12","mc84-28","mc87-10","mc78-11","mc74-13","mc76-16","mc81-10","mc72-22","mc71-21","mc66-23","mc69-17","mc61-24","mc59-21","mc64-32","mc58-34","mc54-37","mc51-36","mc45-36","mc46-44","mc42-19","mc38-29","mc33-66","mc34-40","mc29-67","mc27-82","mc26-71","mc23-66","mc22-82","mc19-121","mc18-75","mc16-138","mc15-98","mc14-169","mc12-82","mc10-224","mc9-128","mc8-253","mc7-149","mc5-273","mc4-133"
"W2040154","mc192-6","mc193-5","mc178-13","mc165-2","mc154-9","mc155-2","mc145-9","mc136-8","mc129-13","mc122-11","mc137-12","mc116-10","mc111-10","mc106-10","mc102-13","mc98-12","mc94-11","mc97-17","mc90-16","mc84-24","mc87-14","mc78-15","mc74-15","mc76-11","mc81-15","mc72-15","mc71-14","mc66-15","mc69-10","mc61-21","mc59-19","mc64-15","mc58-15","mc54-20","mc51-15","mc45-23","mc46-27","mc42-38","mc38-44","mc33-57","mc34-24","mc29-34","mc27-57","mc26-39","mc23-46","mc22-48","mc19-73","mc18-54","mc16-57","mc15-52","mc14-58","mc12-141","mc10-127","mc9-86","mc8-111","mc7-186","mc5-245","mc4-125"
