"","192","193","178","165","154","155","145","136","129","122","137","116","111","106","102","98","94","97","90","84","87","78","74","76","81","72","71","66","69","61","59","64","58","54","51","45","46","42","38","33","34","29","27","26","23","22","19","18","16","15","14","12","10","9","8","7","5","4"
"W2035221","mc192-12","mc193-12","mc178-4","mc165-14","mc154-15","mc155-13","mc145-12","mc136-13","mc129-7","mc122-15","mc137-7","mc116-15","mc111-15","mc106-15","mc102-18","mc98-19","mc94-17","mc97-18","mc90-18","mc84-14","mc87-18","mc78-22","mc74-21","mc76-24","mc81-20","mc72-23","mc71-24","mc66-30","mc69-22","mc61-27","mc59-28","mc64-34","mc58-29","mc54-26","mc51-30","mc45-29","mc46-36","mc42-20","mc38-21","mc33-23","mc34-45","mc29-78","mc27-49","mc26-65","mc23-105","mc22-103","mc19-81","mc18-121","mc16-95","mc15-131","mc14-113","mc12-70","mc10-148","mc9-189","mc8-282","mc7-279","mc5-360","mc4-6"
"W2035232","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-19","mc84-16","mc87-19","mc78-25","mc74-23","mc76-25","mc81-22","mc72-26","mc71-26","mc66-27","mc69-23","mc61-27","mc59-24","mc64-36","mc58-32","mc54-41","mc51-32","mc45-29","mc46-40","mc42-21","mc38-21","mc33-23","mc34-45","mc29-83","mc27-25","mc26-64","mc23-105","mc22-88","mc19-81","mc18-129","mc16-95","mc15-129","mc14-113","mc12-65","mc10-156","mc9-175","mc8-169","mc7-236","mc5-281","mc4-11"
"W2035234","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-31","mc46-38","mc42-22","mc38-20","mc33-24","mc34-46","mc29-79","mc27-27","mc26-63","mc23-103","mc22-86","mc19-75","mc18-127","mc16-93","mc15-133","mc14-104","mc12-75","mc10-140","mc9-180","mc8-180","mc7-241","mc5-285","mc4-30"
"W2035238","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-31","mc46-38","mc42-22","mc38-20","mc33-24","mc34-46","mc29-79","mc27-27","mc26-63","mc23-103","mc22-86","mc19-75","mc18-127","mc16-93","mc15-134","mc14-115","mc12-64","mc10-149","mc9-187","mc8-172","mc7-234","mc5-293","mc4-4"
"W2035242","mc192-10","mc193-8","mc178-1","mc165-10","mc154-4","mc155-11","mc145-1","mc136-1","mc129-4","mc122-1","mc137-1","mc116-1","mc111-2","mc106-2","mc102-3","mc98-1","mc94-4","mc97-1","mc90-8","mc84-3","mc87-5","mc78-2","mc74-4","mc76-6","mc81-1","mc72-11","mc71-6","mc66-9","mc69-6","mc61-7","mc59-4","mc64-7","mc58-9","mc54-14","mc51-6","mc45-8","mc46-5","mc42-16","mc38-17","mc33-21","mc34-17","mc29-19","mc27-22","mc26-15","mc23-10","mc22-28","mc19-33","mc18-29","mc16-23","mc15-42","mc14-34","mc12-48","mc10-60","mc9-31","mc8-22","mc7-88","mc5-15","mc4-389"
"W2035245","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-30","mc46-39","mc42-22","mc38-20","mc33-24","mc34-46","mc29-79","mc27-27","mc26-63","mc23-103","mc22-86",NA,"mc18-127",NA,NA,"mc14-111","mc12-73","mc10-140","mc9-180","mc8-177","mc7-241","mc5-299","mc4-33"
"W2035253","mc192-8","mc193-9","mc178-2","mc165-11","mc154-3","mc155-8","mc145-5","mc136-5","mc129-2","mc122-6","mc137-5","mc116-5","mc111-6","mc106-8","mc102-8","mc98-8","mc94-2","mc97-8","mc90-2","mc84-8","mc87-2","mc78-9","mc74-9","mc76-2","mc81-8","mc72-3","mc71-3","mc66-4","mc69-3","mc61-3","mc59-6","mc64-4","mc58-5","mc54-4","mc51-11","mc45-12","mc46-7","mc42-4","mc38-2","mc33-5","mc34-10","mc29-7","mc27-7","mc26-6","mc23-14","mc22-11","mc19-13","mc18-10","mc16-2","mc15-26","mc14-30","mc12-24","mc10-23","mc9-40","mc8-47","mc7-51","mc5-70","mc4-459"
"W2035254","mc192-4","mc193-4","mc178-10","mc165-6","mc154-7","mc155-4","mc145-7","mc136-11","mc129-15","mc122-10","mc137-8","mc116-7","mc111-12","mc106-12","mc102-10","mc98-14","mc94-13","mc97-12","mc90-12","mc84-28","mc87-10","mc78-11","mc74-13","mc76-16","mc81-10","mc72-22","mc71-21","mc66-23","mc69-18","mc61-24","mc59-21","mc64-19","mc58-27","mc54-25","mc51-26","mc45-24","mc46-29","mc42-50","mc38-58","mc33-67","mc34-40","mc29-46","mc27-82","mc26-53","mc23-75","mc22-78","mc19-61","mc18-62","mc16-77","mc15-112","mc14-164","mc12-190","mc10-152","mc9-137","mc8-246","mc7-148","mc5-371","mc4-320"
"W2035259","mc192-2","mc193-1","mc178-8","mc165-8","mc154-11","mc155-14","mc145-13","mc136-16","mc129-10","mc122-16","mc137-16","mc116-18","mc111-17","mc106-18","mc102-22","mc98-20","mc94-20","mc97-21","mc90-25","mc84-12","mc87-26","mc78-27","mc74-32","mc76-23","mc81-12","mc72-31","mc71-32","mc66-36","mc69-26","mc61-30","mc59-38","mc64-23","mc58-38","mc54-43","mc51-34","mc45-46","mc46-35","mc42-32","mc38-38","mc33-39","mc34-55","mc29-60","mc27-68","mc26-67","mc23-86","mc22-90","mc19-88","mc18-123","mc16-137","mc15-157","mc14-171","mc12-93","mc10-187","mc9-227","mc8-260","mc7-310","mc5-426","mc4-204"
"W2035263","mc192-11","mc193-11","mc178-5","mc165-14","mc154-14","mc155-12","mc145-11","mc136-14","mc129-7","mc122-14","mc137-6","mc116-14","mc111-14","mc106-16","mc102-17","mc98-18","mc94-18","mc97-19","mc90-20","mc84-15","mc87-20","mc78-24","mc74-23","mc76-26","mc81-22","mc72-25","mc71-25","mc66-29","mc69-24","mc61-26","mc59-25","mc64-37","mc58-31","mc54-27","mc51-31","mc45-31","mc46-38","mc42-22","mc38-21","mc33-23","mc34-45","mc29-78","mc27-25","mc26-64","mc23-105","mc22-88","mc19-81","mc18-129","mc16-95","mc15-131","mc14-59","mc12-199","mc10-156","mc9-162","mc8-208","mc7-164","mc5-413","mc4-128"
"W2035270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mc54-13","mc51-7","mc45-6","mc46-6","mc42-15","mc38-15","mc33-18","mc34-16","mc29-17","mc27-19","mc26-18","mc23-13","mc22-30","mc19-35","mc18-31","mc16-19","mc15-38","mc14-38","mc12-46","mc10-66","mc9-28","mc8-29","mc7-91","mc5-14","mc4-396"
"W2035271","mc192-12","mc193-12","mc178-4","mc165-13","mc154-15","mc155-13","mc145-12","mc136-13","mc129-16","mc122-15","mc137-7","mc116-15","mc111-15","mc106-15","mc102-18","mc98-19","mc94-17","mc97-18","mc90-26","mc84-14","mc87-18","mc78-22","mc74-21","mc76-24","mc81-20","mc72-23","mc71-24","mc66-30","mc69-22","mc61-25","mc59-28","mc64-34","mc58-29","mc54-37","mc51-30","mc45-36","mc46-44","mc42-19","mc38-18","mc33-25","mc34-51","mc29-25","mc27-48","mc26-59","mc23-96","mc22-99","mc19-77","mc18-131","mc16-61","mc15-138","mc14-168","mc12-77","mc10-223","mc9-216","mc8-186","mc7-248",NA,NA
