"","100","99","98","97","96","95","94","93","92","91","90","89","88","87","86","85","84","83","82","81","80","79","78","77","76","75","74","73","72","71","70","69","68","67","66","65","64","63","62","61","60","59","58","57","56","55","54","53","52","51","50","49","48","47","46","45","44","43","42","41","40","39","38","37","36","35","34","33","32","31","30","29","28","27","26","25","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2"
"covid_555_1.97","mc100-24","mc99-25","mc98-25","mc97-25","mc96-25","mc95-25","mc94-25","mc93-24","mc92-24","mc91-24","mc90-23","mc89-23","mc88-23","mc87-23","mc86-23","mc85-23","mc84-23","mc83-23","mc82-22","mc81-22","mc80-21","mc79-21","mc78-21","mc77-21","mc76-21","mc75-21","mc74-21","mc73-21","mc72-20","mc71-20","mc70-20","mc69-19","mc68-18","mc67-18","mc66-18","mc65-18","mc64-18","mc63-18","mc62-18","mc61-17","mc60-17","mc59-16","mc58-16","mc57-15","mc56-14","mc55-14","mc54-13","mc53-13","mc52-12","mc51-11","mc50-9","mc49-8","mc48-7","mc47-6","mc46-4","mc45-3","mc44-1","mc43-22","mc42-21","mc41-19","mc40-18","mc39-16","mc38-14","mc37-12","mc36-10","mc35-7","mc34-5","mc33-2","mc32-55","mc31-55","mc30-53","mc29-52","mc28-51","mc27-49","mc26-48","mc25-45","mc24-41","mc23-36","mc22-31","mc21-26","mc20-19","mc19-12","mc18-3","mc17-127","mc16-126","mc15-128","mc14-121","mc13-115","mc12-107","mc11-95","mc10-71","mc9-44","mc8-3","mc7-199","mc6-161","mc5-77","mc4-62","mc3-83","mc2-18"
"covid_555_1.114","mc100-10","mc99-9","mc98-9","mc97-9","mc96-8","mc95-8","mc94-8","mc93-7","mc92-7","mc91-7","mc90-6","mc89-6","mc88-6","mc87-5","mc86-5","mc85-4","mc84-4","mc83-4","mc82-3","mc81-3","mc80-2","mc79-2","mc78-1","mc77-1","mc76-16","mc75-16","mc74-16","mc73-16","mc72-15","mc71-14","mc70-14","mc69-13","mc68-12","mc67-12","mc66-12","mc65-12","mc64-12","mc63-11","mc62-10","mc61-9","mc60-9","mc59-8","mc58-8","mc57-7","mc56-6","mc55-5","mc54-4","mc53-3","mc52-2","mc51-1","mc50-33","mc49-33","mc48-34","mc47-34","mc46-33","mc45-32","mc44-30","mc43-30","mc42-29","mc41-27","mc40-26","mc39-25","mc38-24","mc37-23","mc36-21","mc35-18","mc34-16","mc33-13","mc32-10","mc31-7","mc30-4","mc29-1","mc28-34","mc27-31","mc26-28","mc25-25","mc24-20","mc23-15","mc22-9","mc21-3","mc20-82","mc19-81","mc18-77","mc17-74","mc16-65","mc15-57","mc14-46","mc13-32","mc12-15","mc11-82","mc10-57","mc9-28","mc8-123","mc7-78","mc6-10","mc5-182","mc4-47","mc3-215","mc2-263"
"covid_555_1.117","mc100-5","mc99-4","mc98-4","mc97-4","mc96-3","mc95-3","mc94-3","mc93-2","mc92-2","mc91-2","mc90-1","mc89-1","mc88-1","mc87-11","mc86-11","mc85-10","mc84-10","mc83-10","mc82-9","mc81-9","mc80-8","mc79-8","mc78-7","mc77-7","mc76-6","mc75-6","mc74-5","mc73-5","mc72-4","mc71-3","mc70-3","mc69-2","mc68-1","mc67-1","mc66-30","mc65-30","mc64-30","mc63-31","mc62-31","mc61-31","mc60-31","mc59-30","mc58-30","mc57-29","mc56-28","mc55-28","mc54-28","mc53-28","mc52-29","mc51-29","mc50-28","mc49-27","mc48-27","mc47-27","mc46-26","mc45-25","mc44-23","mc43-23","mc42-22","mc41-20","mc40-19","mc39-17","mc38-15","mc37-13","mc36-11","mc35-8","mc34-6","mc33-3","mc32-18","mc31-15","mc30-12","mc29-9","mc28-6","mc27-2","mc26-50","mc25-47","mc24-43","mc23-38","mc22-34","mc21-29","mc20-22","mc19-15","mc18-6","mc17-82","mc16-76","mc15-68","mc14-57","mc13-46","mc12-29","mc11-10","mc10-7","mc9-41","mc8-112","mc7-67","mc6-248","mc5-194","mc4-61","mc3-331","mc2-410"
"covid_555_1.119","mc100-9","mc99-8","mc98-8","mc97-8","mc96-7","mc95-7","mc94-7","mc93-6","mc92-6","mc91-6","mc90-5","mc89-5","mc88-5","mc87-4","mc86-4","mc85-3","mc84-3","mc83-3","mc82-2","mc81-2","mc80-1","mc79-1","mc78-30","mc77-30","mc76-30","mc75-30","mc74-30","mc73-30","mc72-29","mc71-29","mc70-29","mc69-30","mc68-31","mc67-31","mc66-32","mc65-32","mc64-32","mc63-33","mc62-33","mc61-33","mc60-33","mc59-33","mc58-33","mc57-32","mc56-31","mc55-31","mc54-31","mc53-31","mc52-32","mc51-32","mc50-32","mc49-32","mc48-33","mc47-33","mc46-32","mc45-31","mc44-29","mc43-29","mc42-28","mc41-26","mc40-25","mc39-24","mc38-23","mc37-21","mc36-19","mc35-16","mc34-14","mc33-11","mc32-8","mc31-5","mc30-2","mc29-15","mc28-12","mc27-8","mc26-5","mc25-75","mc24-75","mc23-74","mc22-73","mc21-71","mc20-66","mc19-63","mc18-58","mc17-50","mc16-40","mc15-30","mc14-19","mc13-2","mc12-165","mc11-161","mc10-150","mc9-138","mc8-111","mc7-66","mc6-5","mc5-187","mc4-52","mc3-44","mc2-220"
"covid_555_1.126","mc100-6","mc99-5","mc98-5","mc97-5","mc96-4","mc95-4","mc94-4","mc93-3","mc92-3","mc91-3","mc90-2","mc89-2","mc88-2","mc87-1","mc86-1","mc85-27","mc84-27","mc83-27","mc82-26","mc81-26","mc80-25","mc79-25","mc78-25","mc77-25","mc76-25","mc75-25","mc74-25","mc73-25","mc72-24","mc71-24","mc70-24","mc69-25","mc68-24","mc67-24","mc66-24","mc65-24","mc64-24","mc63-24","mc62-24","mc61-24","mc60-24","mc59-23","mc58-23","mc57-22","mc56-21","mc55-21","mc54-20","mc53-20","mc52-20","mc51-20","mc50-18","mc49-17","mc48-17","mc47-17","mc46-15","mc45-14","mc44-12","mc43-11","mc42-10","mc41-8","mc40-6","mc39-4","mc38-2","mc37-22","mc36-20","mc35-17","mc34-15","mc33-12","mc32-9","mc31-6","mc30-3","mc29-67","mc28-67","mc27-65","mc26-65","mc25-62","mc24-60","mc23-57","mc22-55","mc21-52","mc20-47","mc19-43","mc18-35","mc17-27","mc16-17","mc15-4","mc14-2","mc13-154","mc12-148","mc11-138","mc10-123","mc9-103","mc8-69","mc7-17","mc6-404","mc5-442","mc4-481","mc3-460","mc2-166"
"covid_555_1.127","mc100-21","mc99-22","mc98-22","mc97-22","mc96-21","mc95-21","mc94-21","mc93-20","mc92-20","mc91-20","mc90-19","mc89-19","mc88-19","mc87-19","mc86-19","mc85-18","mc84-18","mc83-18","mc82-17","mc81-17","mc80-16","mc79-16","mc78-16","mc77-16","mc76-15","mc75-15","mc74-15","mc73-15","mc72-14","mc71-13","mc70-13","mc69-12","mc68-11","mc67-11","mc66-11","mc65-11","mc64-11","mc63-10","mc62-9","mc61-8","mc60-8","mc59-7","mc58-7","mc57-6","mc56-5","mc55-4","mc54-3","mc53-2","mc52-1","mc51-18","mc50-16","mc49-15","mc48-14","mc47-14","mc46-12","mc45-11","mc44-9","mc43-8","mc42-6","mc41-4","mc40-2","mc39-61","mc38-62","mc37-62","mc36-61","mc35-58","mc34-58","mc33-56","mc32-54","mc31-54","mc30-52","mc29-51","mc28-50","mc27-47","mc26-46","mc25-43","mc24-39","mc23-34","mc22-29","mc21-24","mc20-17","mc19-10","mc18-1","mc17-133","mc16-133","mc15-135","mc14-128","mc13-123","mc12-115","mc11-104","mc10-82","mc9-56","mc8-16","mc7-356","mc6-382","mc5-407","mc4-401","mc3-306","mc2-45"
"covid_555_1.142","mc100-11","mc99-10","mc98-10","mc97-10","mc96-9","mc95-9","mc94-9","mc93-8","mc92-8","mc91-8","mc90-7","mc89-7","mc88-7","mc87-6","mc86-6","mc85-5","mc84-5","mc83-5","mc82-4","mc81-4","mc80-3","mc79-3","mc78-2","mc77-2","mc76-1","mc75-1","mc74-8","mc73-8","mc72-7","mc71-6","mc70-6","mc69-5","mc68-4","mc67-4","mc66-4","mc65-3","mc64-3","mc63-2","mc62-1","mc61-22","mc60-22","mc59-21","mc58-21","mc57-20","mc56-19","mc55-19","mc54-18","mc53-18","mc52-18","mc51-17","mc50-15","mc49-14","mc48-13","mc47-13","mc46-11","mc45-10","mc44-8","mc43-7","mc42-5","mc41-3","mc40-1","mc39-74","mc38-76","mc37-77","mc36-79","mc35-81","mc34-83","mc33-85","mc32-87","mc31-88","mc30-90","mc29-92","mc28-95","mc27-97","mc26-101","mc25-102","mc24-105","mc23-109","mc22-112","mc21-112","mc20-113","mc19-118","mc18-119","mc17-120","mc16-119","mc15-121","mc14-114","mc13-107","mc12-97","mc11-85","mc10-61","mc9-32","mc8-290","mc7-301","mc6-300","mc5-266","mc4-171","mc3-647","mc2-716"
"covid_555_1.151","mc100-24","mc99-25","mc98-25","mc97-25","mc96-25","mc95-25","mc94-25","mc93-24","mc92-24","mc91-24","mc90-23","mc89-23","mc88-23","mc87-23","mc86-23","mc85-23","mc84-23","mc83-23","mc82-22","mc81-22","mc80-21","mc79-21","mc78-21","mc77-21","mc76-21","mc75-21","mc74-21","mc73-21","mc72-20","mc71-20","mc70-20","mc69-19","mc68-18","mc67-18","mc66-18","mc65-18","mc64-18","mc63-18","mc62-18","mc61-17","mc60-17","mc59-16","mc58-16","mc57-15","mc56-14","mc55-14","mc54-13","mc53-13","mc52-12","mc51-11","mc50-9","mc49-8","mc48-7","mc47-6","mc46-4","mc45-3","mc44-1","mc43-22","mc42-21","mc41-19","mc40-18","mc39-16","mc38-14","mc37-12","mc36-10","mc35-7","mc34-5","mc33-2","mc32-66","mc31-66","mc30-65","mc29-65","mc28-64","mc27-62","mc26-62","mc25-59","mc24-56","mc23-53","mc22-51","mc21-47","mc20-41","mc19-35","mc18-27","mc17-19","mc16-8","mc15-71","mc14-61","mc13-50","mc12-33","mc11-14","mc10-77","mc9-51","mc8-11","mc7-193","mc6-151","mc5-64","mc4-143","mc3-165","mc2-636"
"covid_555_1.155","mc100-5","mc99-4","mc98-4","mc97-4","mc96-3","mc95-3","mc94-3","mc93-2","mc92-2","mc91-2","mc90-1","mc89-1","mc88-1","mc87-11","mc86-11","mc85-10","mc84-10","mc83-10","mc82-9","mc81-9","mc80-8","mc79-8","mc78-7","mc77-7","mc76-6","mc75-6","mc74-5","mc73-5","mc72-4","mc71-3","mc70-3","mc69-2","mc68-1","mc67-1","mc66-30","mc65-30","mc64-30","mc63-31","mc62-31","mc61-31","mc60-31","mc59-30","mc58-30","mc57-29","mc56-28","mc55-28","mc54-28","mc53-28","mc52-29","mc51-29","mc50-28","mc49-27","mc48-27","mc47-27","mc46-26","mc45-25","mc44-23","mc43-23","mc42-22","mc41-20","mc40-19","mc39-17","mc38-15","mc37-13","mc36-11","mc35-8","mc34-6","mc33-3","mc32-18","mc31-15","mc30-12","mc29-9","mc28-6","mc27-2","mc26-43","mc25-40","mc24-36","mc23-31","mc22-26","mc21-21","mc20-14","mc19-6","mc18-43","mc17-35","mc16-25","mc15-12","mc14-208","mc13-219","mc12-231","mc11-243","mc10-266","mc9-285","mc8-312","mc7-337","mc6-355","mc5-347","mc4-293","mc3-110","mc2-167"
"covid_555_1.160","mc100-9","mc99-8","mc98-8","mc97-8","mc96-7","mc95-7","mc94-7","mc93-6","mc92-6","mc91-6","mc90-5","mc89-5","mc88-5","mc87-4","mc86-4","mc85-3","mc84-3","mc83-3","mc82-2","mc81-2","mc80-1","mc79-1","mc78-13","mc77-13","mc76-12","mc75-12","mc74-12","mc73-12","mc72-11","mc71-10","mc70-10","mc69-9","mc68-8","mc67-8","mc66-8","mc65-7","mc64-7","mc63-6","mc62-5","mc61-4","mc60-4","mc59-3","mc58-3","mc57-2","mc56-1","mc55-8","mc54-7","mc53-6","mc52-5","mc51-4","mc50-2","mc49-1","mc48-16","mc47-16","mc46-14","mc45-13","mc44-11","mc43-10","mc42-9","mc41-7","mc40-5","mc39-3","mc38-1","mc37-32","mc36-30","mc35-27","mc34-26","mc33-23","mc32-21","mc31-18","mc30-15","mc29-12","mc28-9","mc27-5","mc26-2","mc25-80","mc24-81","mc23-81","mc22-82","mc21-81","mc20-76","mc19-74","mc18-69","mc17-64","mc16-55","mc15-45","mc14-34","mc13-18","mc12-161","mc11-154","mc10-141","mc9-125","mc8-94","mc7-45","mc6-256","mc5-203","mc4-77","mc3-194","mc2-11"
