"","100","99","98","97","96","95","94","93","92","91","90","89","88","87","86","85","84","83","82","81","80","79","78","77","76","75","74","73","72","71","70","69","68","67","66","65","64","63","62","61","60","59","58","57","56","55","54","53","52","51","50","49","48","47","46","45","44","43","42","41","40","39","38","37","36","35","34","33","32","31","30","29","28","27","26","25","24","23","22","21","20","19","18","17","16","15","14","13","12","11","10","9","8","7","6","5","4","3","2"
"HIP002.66","mc100-8","mc99-8","mc98-8","mc97-8","mc96-8","mc95-8","mc94-8","mc93-8","mc92-7","mc91-7","mc90-7","mc89-7","mc88-6","mc87-6","mc86-6","mc85-6","mc84-6","mc83-6","mc82-6","mc81-5","mc80-5","mc79-5","mc78-5","mc77-5","mc76-5","mc75-4","mc74-4","mc73-4","mc72-3","mc71-3","mc70-3","mc69-2","mc68-2","mc67-1","mc66-1","mc65-29","mc64-29","mc63-30","mc62-30","mc61-31","mc60-31","mc59-32","mc58-32","mc57-33","mc56-34","mc55-34","mc54-35","mc53-36","mc52-36","mc51-36","mc50-36","mc49-37","mc48-37","mc47-37","mc46-38","mc45-39","mc44-39","mc43-40","mc42-41","mc41-43","mc40-44","mc39-43","mc38-43","mc37-43","mc36-44","mc35-44","mc34-44","mc33-44","mc32-44","mc31-43","mc30-43","mc29-41","mc28-39","mc27-36","mc26-34","mc25-33","mc24-31","mc23-29","mc22-26","mc21-24","mc20-20","mc19-16","mc18-10","mc17-4","mc16-82","mc15-81","mc14-79","mc13-75","mc12-67","mc11-57","mc10-43","mc9-24","mc8-212","mc7-238","mc6-260","mc5-282","mc4-284","mc3-227","mc2-142"
"HIP002.72","mc100-11","mc99-11","mc98-11","mc97-11","mc96-11","mc95-11","mc94-11","mc93-11","mc92-11","mc91-11","mc90-11","mc89-11","mc88-10","mc87-10","mc86-10","mc85-10","mc84-10","mc83-10","mc82-10","mc81-9","mc80-9","mc79-9","mc78-9","mc77-9","mc76-9","mc75-8","mc74-8","mc73-8","mc72-7","mc71-7","mc70-7","mc69-6","mc68-6","mc67-5","mc66-5","mc65-4","mc64-4","mc63-3","mc62-3","mc61-2","mc60-2","mc59-1","mc58-1","mc57-14","mc56-13","mc55-13","mc54-12","mc53-11","mc52-11","mc51-10","mc50-9","mc49-8","mc48-7","mc47-7","mc46-6","mc45-5","mc44-4","mc43-3","mc42-2","mc41-27","mc40-27","mc39-26","mc38-25","mc37-24","mc36-23","mc35-22","mc34-22","mc33-21","mc32-19","mc31-17","mc30-15","mc29-12","mc28-10","mc27-7","mc26-4","mc25-1","mc24-13","mc23-9","mc22-5","mc21-1","mc20-72","mc19-72","mc18-70","mc17-68","mc16-67","mc15-64","mc14-59","mc13-53","mc12-44","mc11-31","mc10-16","mc9-108","mc8-101","mc7-78","mc6-34","mc5-270","mc4-258","mc3-178","mc2-172"
"HIP002.73","mc100-8","mc99-8","mc98-8","mc97-8","mc96-8","mc95-8","mc94-8","mc93-8","mc92-7","mc91-7","mc90-7","mc89-7","mc88-6","mc87-6","mc86-6","mc85-6","mc84-6","mc83-6","mc82-6","mc81-5","mc80-5","mc79-5","mc78-5","mc77-5","mc76-5","mc75-4","mc74-4","mc73-4","mc72-3","mc71-3","mc70-3","mc69-2","mc68-2","mc67-1","mc66-1","mc65-29","mc64-29","mc63-30","mc62-30","mc61-31","mc60-31","mc59-32","mc58-32","mc57-33","mc56-34","mc55-34","mc54-35","mc53-36","mc52-36","mc51-36","mc50-36","mc49-37","mc48-37","mc47-37","mc46-38","mc45-39","mc44-39","mc43-40","mc42-41","mc41-43","mc40-44","mc39-43","mc38-43","mc37-43","mc36-44","mc35-44","mc34-44","mc33-44","mc32-44","mc31-43","mc30-43","mc29-41","mc28-39","mc27-36","mc26-34","mc25-33","mc24-31","mc23-29","mc22-26","mc21-24","mc20-20","mc19-16","mc18-10","mc17-4","mc16-82","mc15-81","mc14-79","mc13-75","mc12-67","mc11-57","mc10-43","mc9-24","mc8-212","mc7-238","mc6-260","mc5-282","mc4-284","mc3-227","mc2-142"
"HIP002.82","mc100-2","mc99-2","mc98-2","mc97-1","mc96-1","mc95-1","mc94-1","mc93-1","mc92-9","mc91-9","mc90-9","mc89-9","mc88-8","mc87-8","mc86-8","mc85-8","mc84-8","mc83-8","mc82-8","mc81-7","mc80-7","mc79-7","mc78-7","mc77-7","mc76-7","mc75-6","mc74-6","mc73-6","mc72-5","mc71-5","mc70-5","mc69-4","mc68-4","mc67-3","mc66-3","mc65-2","mc64-2","mc63-1","mc62-1","mc61-20","mc60-20","mc59-20","mc58-20","mc57-20","mc56-19","mc55-19","mc54-18","mc53-17","mc52-17","mc51-17","mc50-16","mc49-15","mc48-15","mc47-15","mc46-14","mc45-14","mc44-13","mc43-12","mc42-11","mc41-9","mc40-8","mc39-7","mc38-6","mc37-5","mc36-4","mc35-2","mc34-5","mc33-4","mc32-2","mc31-48","mc30-48","mc29-47","mc28-45","mc27-43","mc26-41","mc25-40","mc24-38","mc23-37","mc22-36","mc21-34","mc20-30","mc19-26","mc18-20","mc17-14","mc16-7","mc15-98","mc14-101","mc13-102","mc12-97","mc11-94","mc10-83","mc9-70","mc8-53","mc7-19","mc6-238","mc5-236","mc4-201","mc3-74","mc2-462"
"HIP002.87","mc100-6","mc99-6","mc98-6","mc97-5","mc96-5","mc95-5","mc94-5","mc93-5","mc92-4","mc91-4","mc90-4","mc89-4","mc88-3","mc87-3","mc86-3","mc85-3","mc84-2","mc83-2","mc82-2","mc81-1","mc80-1","mc79-1","mc78-23","mc77-23","mc76-23","mc75-24","mc74-24","mc73-24","mc72-23","mc71-23","mc70-23","mc69-23","mc68-23","mc67-23","mc66-23","mc65-22","mc64-22","mc63-22","mc62-22","mc61-23","mc60-23","mc59-24","mc58-24","mc57-24","mc56-23","mc55-23","mc54-22","mc53-22","mc52-22","mc51-22","mc50-21","mc49-21","mc48-21","mc47-21","mc46-20","mc45-20","mc44-19","mc43-18","mc42-18","mc41-17","mc40-16","mc39-15","mc38-14","mc37-13","mc36-12","mc35-10","mc34-9","mc33-8","mc32-6","mc31-4","mc30-2","mc29-54","mc28-53","mc27-54","mc26-52","mc25-51","mc24-50","mc23-50","mc22-50","mc21-48","mc20-45","mc19-42","mc18-37","mc17-32","mc16-25","mc15-18","mc14-9","mc13-39","mc12-28","mc11-14","mc10-61","mc9-45","mc8-22","mc7-186","mc6-173","mc5-139","mc4-65","mc3-15","mc2-361"
"HIP002.90","mc100-2","mc99-2","mc98-2","mc97-1","mc96-1","mc95-1","mc94-1","mc93-1","mc92-9","mc91-9","mc90-9","mc89-9","mc88-8","mc87-8","mc86-8","mc85-8","mc84-8","mc83-8","mc82-8","mc81-7","mc80-7","mc79-7","mc78-7","mc77-7","mc76-7","mc75-6","mc74-6","mc73-6","mc72-5","mc71-5","mc70-5","mc69-4","mc68-4","mc67-3","mc66-3","mc65-2","mc64-2","mc63-1","mc62-1","mc61-20","mc60-20","mc59-20","mc58-20","mc57-20","mc56-19","mc55-19","mc54-18","mc53-17","mc52-17","mc51-17","mc50-16","mc49-15","mc48-15","mc47-15","mc46-14","mc45-14","mc44-13","mc43-12","mc42-11","mc41-9","mc40-8","mc39-7","mc38-6","mc37-5","mc36-4","mc35-2","mc34-5","mc33-4","mc32-2","mc31-28","mc30-27","mc29-24","mc28-22","mc27-19","mc26-16","mc25-14","mc24-11","mc23-7","mc22-3","mc21-71","mc20-71","mc19-71","mc18-69","mc17-67","mc16-66","mc15-63","mc14-58","mc13-52","mc12-42","mc11-29","mc10-14","mc9-116","mc8-111","mc7-92","mc6-50","mc5-18","mc4-281","mc3-222","mc2-144"
"HIP002.97","mc100-8","mc99-8","mc98-8","mc97-8","mc96-8","mc95-8","mc94-8","mc93-8","mc92-7","mc91-7","mc90-7","mc89-7","mc88-6","mc87-6","mc86-6","mc85-6","mc84-6","mc83-6","mc82-6","mc81-5","mc80-5","mc79-5","mc78-5","mc77-5","mc76-5","mc75-4","mc74-4","mc73-4","mc72-3","mc71-3","mc70-3","mc69-2","mc68-2","mc67-1","mc66-1","mc65-29","mc64-29","mc63-30","mc62-30","mc61-31","mc60-31","mc59-32","mc58-32","mc57-33","mc56-34","mc55-34","mc54-35","mc53-36","mc52-36","mc51-36","mc50-36","mc49-37","mc48-37","mc47-37","mc46-38","mc45-39","mc44-39","mc43-40","mc42-41","mc41-43","mc40-44","mc39-43","mc38-43","mc37-43","mc36-44","mc35-44","mc34-44","mc33-44","mc32-44","mc31-43","mc30-43","mc29-41","mc28-39","mc27-36","mc26-34","mc25-33","mc24-31","mc23-29","mc22-26","mc21-24","mc20-20","mc19-16","mc18-10","mc17-4","mc16-82","mc15-81","mc14-79","mc13-75","mc12-67","mc11-57","mc10-43","mc9-24","mc8-212","mc7-238","mc6-260","mc5-282","mc4-284","mc3-227","mc2-142"
"HIP002.119","mc100-6","mc99-6","mc98-6","mc97-5","mc96-5","mc95-5","mc94-5","mc93-5","mc92-4","mc91-4","mc90-4","mc89-4","mc88-3","mc87-3","mc86-3","mc85-3","mc84-2","mc83-2","mc82-2","mc81-1","mc80-1","mc79-1","mc78-3","mc77-3","mc76-3","mc75-2","mc74-2","mc73-2","mc72-1","mc71-1","mc70-1","mc69-28","mc68-28","mc67-28","mc66-28","mc65-28","mc64-28","mc63-29","mc62-29","mc61-30","mc60-30","mc59-31","mc58-31","mc57-32","mc56-33","mc55-33","mc54-34","mc53-34","mc52-34","mc51-34","mc50-34","mc49-35","mc48-35","mc47-35","mc46-35","mc45-35","mc44-35","mc43-36","mc42-37","mc41-37","mc40-38","mc39-37","mc38-37","mc37-37","mc36-37","mc35-37","mc34-37","mc33-37","mc32-35","mc31-34","mc30-34","mc29-31","mc28-29","mc27-26","mc26-23","mc25-21","mc24-19","mc23-15","mc22-11","mc21-7","mc20-2","mc19-92","mc18-94","mc17-96","mc16-98","mc15-99","mc14-102","mc13-103","mc12-98","mc11-95","mc10-84","mc9-71","mc8-55","mc7-21","mc6-244","mc5-251","mc4-223","mc3-123","mc2-463"
"HIP002.156","mc100-13","mc99-13","mc98-13","mc97-13","mc96-13","mc95-13","mc94-13","mc93-13","mc92-13","mc91-13","mc90-13","mc89-13","mc88-12","mc87-12","mc86-12","mc85-12","mc84-12","mc83-12","mc82-12","mc81-11","mc80-11","mc79-11","mc78-11","mc77-11","mc76-11","mc75-11","mc74-11","mc73-11","mc72-10","mc71-10","mc70-10","mc69-10","mc68-10","mc67-9","mc66-9","mc65-8","mc64-8","mc63-7","mc62-7","mc61-6","mc60-6","mc59-5","mc58-5","mc57-4","mc56-3","mc55-3","mc54-2","mc53-1","mc52-1","mc51-39","mc50-40","mc49-41","mc48-42","mc47-42","mc46-43","mc45-44","mc44-44","mc43-45","mc42-46","mc41-48","mc40-49","mc39-50","mc38-51","mc37-53","mc36-54","mc35-56","mc34-57","mc33-58","mc32-60","mc31-62","mc30-64","mc29-66","mc28-67","mc27-70","mc26-72","mc25-74","mc24-77","mc23-80","mc22-82","mc21-84","mc20-88","mc19-89","mc18-91","mc17-91","mc16-93","mc15-93","mc14-94","mc13-94","mc12-88","mc11-82","mc10-71","mc9-57","mc8-38","mc7-3","mc6-101","mc5-39","mc4-310","mc3-277","mc2-19"
"HIP002.160","mc100-6","mc99-6","mc98-6","mc97-5","mc96-5","mc95-5","mc94-5","mc93-5","mc92-4","mc91-4","mc90-4","mc89-4","mc88-3","mc87-3","mc86-3","mc85-3","mc84-2","mc83-2","mc82-2","mc81-1","mc80-1","mc79-1","mc78-23","mc77-23","mc76-23","mc75-24","mc74-24","mc73-24","mc72-23","mc71-23","mc70-23","mc69-23","mc68-23","mc67-23","mc66-23","mc65-22","mc64-22","mc63-22","mc62-22","mc61-23","mc60-23","mc59-24","mc58-24","mc57-24","mc56-23","mc55-23","mc54-22","mc53-22","mc52-22","mc51-22","mc50-21","mc49-21","mc48-21","mc47-21","mc46-20","mc45-20","mc44-19","mc43-18","mc42-18","mc41-17","mc40-16","mc39-15","mc38-14","mc37-13","mc36-12","mc35-10","mc34-9","mc33-8","mc32-6","mc31-4","mc30-2","mc29-54","mc28-53","mc27-54","mc26-52","mc25-51","mc24-50","mc23-50","mc22-50","mc21-48","mc20-45","mc19-42","mc18-37","mc17-32","mc16-25","mc15-18","mc14-9","mc13-39","mc12-28","mc11-14","mc10-61","mc9-45","mc8-22","mc7-186","mc6-173","mc5-139","mc4-65","mc3-15","mc2-370"
